gvkey,date,A_hat,L,alpha,beta,delta,mu,PD_1y
100022,2014-01-03,151903072445.35953,101448000000.0,15.0,-3.0,0.2,0.0,0.9786036067811221
100022,2014-01-10,151406268174.26407,101448000000.0,15.0,-3.0,0.2,0.0,0.978803465263578
100022,2014-01-17,153245024997.58362,101448000000.0,15.0,-3.0,0.2,0.0,0.9780591342882055
100022,2014-01-24,150713058676.8312,101448000000.0,15.0,-3.0,0.2,0.0,0.9790807851430255
100022,2014-01-31,150063610186.36368,101448000000.0,15.0,-3.0,0.2,0.0,0.9793389558071331
100022,2014-02-07,150629433551.6174,101448000000.0,15.0,-3.0,0.2,0.0,0.9791141172684145
100022,2014-02-14,153162715196.19458,101448000000.0,15.0,-3.0,0.2,0.0,0.9780927236663443
100022,2014-02-21,152685200725.7126,101448000000.0,15.0,-3.0,0.2,0.0,0.978287091186853
100022,2014-02-28,152047589844.72952,101448000000.0,15.0,-3.0,0.2,0.0,0.9785452952954377
100022,2014-03-07,150603101081.9829,101448000000.0,15.0,-3.0,0.2,0.0,0.9791246076675186
100022,2014-03-14,149055534262.64893,101448000000.0,15.0,-3.0,0.2,0.0,0.9797365319650305
100022,2014-03-21,154505950047.1116,101448000000.0,15.0,-3.0,0.2,0.0,0.9775414171819404
100022,2014-03-28,158142440953.47327,102725000000.0,15.0,-3.0,0.2,0.0,0.9768464232774432
100022,2014-04-04,159097257656.607,102725000000.0,15.0,-3.0,0.2,0.0,0.9764495970859496
100022,2014-04-11,156918863008.80072,102725000000.0,15.0,-3.0,0.2,0.0,0.9773501595114229
100022,2014-04-18,158080962459.9005,102725000000.0,15.0,-3.0,0.2,0.0,0.9768718619654746
100022,2014-04-25,156518062935.06497,102725000000.0,15.0,-3.0,0.2,0.0,0.9775139914389469
100022,2014-05-02,156225752608.6985,102725000000.0,15.0,-3.0,0.2,0.0,0.9776331105457223
100022,2014-05-09,155692467569.1723,102725000000.0,15.0,-3.0,0.2,0.0,0.97784963163234
100022,2014-05-16,154694296322.81494,102725000000.0,15.0,-3.0,0.2,0.0,0.9782521273336492
100022,2014-05-23,156788101690.33685,102725000000.0,15.0,-3.0,0.2,0.0,0.9774036735899225
100022,2014-05-30,158130959275.32144,102725000000.0,15.0,-3.0,0.2,0.0,0.9768511752190389
100022,2014-06-06,158618422582.23947,102725000000.0,15.0,-3.0,0.2,0.0,0.9766490115717714
100022,2014-06-13,157383599012.13983,102725000000.0,15.0,-3.0,0.2,0.0,0.9771594669104341
100022,2014-06-20,158452474775.7828,102725000000.0,15.0,-3.0,0.2,0.0,0.9767179301270293
100022,2014-06-27,158338245627.2157,102725000000.0,15.0,-3.0,0.2,0.0,0.9767653123983447
100022,2014-07-04,160023488923.95752,102725000000.0,15.0,-3.0,0.2,0.0,0.9760615352986932
100022,2014-07-11,158174427438.71826,102725000000.0,15.0,-3.0,0.2,0.0,0.9768331824798164
100022,2014-07-18,159093182433.3105,102725000000.0,15.0,-3.0,0.2,0.0,0.9764512977058446
100022,2014-07-25,159519549743.81888,102725000000.0,15.0,-3.0,0.2,0.0,0.9762730497839096
100022,2014-08-01,155505148338.96088,102725000000.0,15.0,-3.0,0.2,0.0,0.9779254410088339
100022,2014-08-08,154759217479.66837,102725000000.0,15.0,-3.0,0.2,0.0,0.9782260592052143
100022,2014-08-15,154668465180.70926,102725000000.0,15.0,-3.0,0.2,0.0,0.9782624951749391
100022,2014-08-22,156369515842.901,102725000000.0,15.0,-3.0,0.2,0.0,0.9775745643662443
100022,2014-08-29,156118657588.3089,102725000000.0,15.0,-3.0,0.2,0.0,0.9776766753132627
100022,2014-09-05,158241281107.3334,102725000000.0,15.0,-3.0,0.2,0.0,0.9768054965563465
100022,2014-09-12,156650274216.7078,102725000000.0,15.0,-3.0,0.2,0.0,0.977460012627384
100022,2014-09-19,156390604490.69135,102725000000.0,15.0,-3.0,0.2,0.0,0.9775659699278917
100022,2014-09-26,154377288548.74353,102725000000.0,15.0,-3.0,0.2,0.0,0.978379196432122
100022,2014-10-03,153799150802.0137,102725000000.0,15.0,-3.0,0.2,0.0,0.9786099921509172
100022,2014-10-10,150689616129.32446,102725000000.0,15.0,-3.0,0.2,0.0,0.9798302966739696
100022,2014-10-17,151300751357.6646,102725000000.0,15.0,-3.0,0.2,0.0,0.9795932755903098
100022,2014-10-24,152337847386.57022,102725000000.0,15.0,-3.0,0.2,0.0,0.9791878962884651
100022,2014-10-31,154170961741.54742,102725000000.0,15.0,-3.0,0.2,0.0,0.9784617033139508
100022,2014-11-07,152975465190.56262,102725000000.0,15.0,-3.0,0.2,0.0,0.9789366997864941
100022,2014-11-14,152807961504.90933,102725000000.0,15.0,-3.0,0.2,0.0,0.9790028343139208
100022,2014-11-21,155866799307.30344,102725000000.0,15.0,-3.0,0.2,0.0,0.977778963978284
100022,2014-11-28,158143520750.3627,102725000000.0,15.0,-3.0,0.2,0.0,0.9768459763557158
100022,2014-12-05,158380612144.28134,102725000000.0,15.0,-3.0,0.2,0.0,0.976747744220935
100022,2014-12-12,155752301360.86176,102725000000.0,15.0,-3.0,0.2,0.0,0.9778253896481609
100022,2014-12-19,156944949051.4914,102725000000.0,15.0,-3.0,0.2,0.0,0.9773394764094131
100022,2014-12-26,157485818920.1986,102725000000.0,15.0,-3.0,0.2,0.0,0.9771174191029239
100022,2015-01-02,155798035173.13025,102725000000.0,15.0,-3.0,0.2,0.0,0.9793727331670049
100022,2015-01-09,155900738770.10815,102725000000.0,15.0,-3.0,0.2,0.0,0.9777651933528032
100022,2015-01-16,159189352849.27927,102725000000.0,15.0,-3.0,0.2,0.0,0.9764111492652495
100022,2015-01-23,164802379784.6741,102725000000.0,15.0,-3.0,0.2,0.0,0.9740110574436139
100022,2015-01-30,165160137988.3307,102725000000.0,15.0,-3.0,0.2,0.0,0.9738543308417302
100022,2015-02-06,167257300886.27948,102725000000.0,15.0,-3.0,0.2,0.0,0.9729266795817867
100022,2015-02-13,167817914693.4287,102725000000.0,15.0,-3.0,0.2,0.0,0.9726761289836883
100022,2015-02-20,169815554195.80392,102725000000.0,15.0,-3.0,0.2,0.0,0.9717745908386338
100022,2015-02-27,171004136098.344,102725000000.0,15.0,-3.0,0.2,0.0,0.9712317393052721
100022,2015-03-06,172367571294.5244,102725000000.0,15.0,-3.0,0.2,0.0,0.9706031555011768
100022,2015-03-13,175188943546.31876,102725000000.0,15.0,-3.0,0.2,0.0,0.9692826793837178
100022,2015-03-20,187928923929.3853,117366000000.0,15.0,-3.0,0.2,0.0,0.9741495278013442
100022,2015-03-27,187562018753.90027,117366000000.0,15.0,-3.0,0.2,0.0,0.9742894757086187
100022,2015-04-03,186863989299.5232,117366000000.0,15.0,-3.0,0.2,0.0,0.9745547282924606
100022,2015-04-10,188336476835.84143,117366000000.0,15.0,-3.0,0.2,0.0,0.9739936539285011
100022,2015-04-17,184168865451.69708,117366000000.0,15.0,-3.0,0.2,0.0,0.9755665715443594
100022,2015-04-24,184172997479.88507,117366000000.0,15.0,-3.0,0.2,0.0,0.975565035272875
100022,2015-05-01,181541817216.129,117366000000.0,15.0,-3.0,0.2,0.0,0.9765338842163421
100022,2015-05-08,183596647409.94904,117366000000.0,15.0,-3.0,0.2,0.0,0.9757788719987672
100022,2015-05-15,179048747399.84265,117366000000.0,15.0,-3.0,0.2,0.0,0.9774343649533633
100022,2015-05-22,180754180212.76474,117366000000.0,15.0,-3.0,0.2,0.0,0.9768202231575811
100022,2015-05-29,178275495452.26184,117366000000.0,15.0,-3.0,0.2,0.0,0.9777101701461623
100022,2015-06-05,177603713625.9375,117366000000.0,15.0,-3.0,0.2,0.0,0.9779484354453568
100022,2015-06-12,177797563090.84058,117366000000.0,15.0,-3.0,0.2,0.0,0.9778798103562013
100022,2015-06-19,176489705636.0644,117366000000.0,15.0,-3.0,0.2,0.0,0.9783407783668187
100022,2015-06-26,179961686246.82523,117366000000.0,15.0,-3.0,0.2,0.0,0.9771066055763797
100022,2015-07-03,177221818635.1753,117366000000.0,15.0,-3.0,0.2,0.0,0.9780833249387086
100022,2015-07-10,175012380049.6486,117366000000.0,15.0,-3.0,0.2,0.0,0.9788557277637019
100022,2015-07-17,175245589174.51202,117366000000.0,15.0,-3.0,0.2,0.0,0.9787748450065428
100022,2015-07-24,172860688812.12396,117366000000.0,15.0,-3.0,0.2,0.0,0.9795947660144535
100022,2015-07-31,172669757472.2256,117366000000.0,15.0,-3.0,0.2,0.0,0.9796597135915008
100022,2015-08-07,173632053053.90424,117366000000.0,15.0,-3.0,0.2,0.0,0.9793313279031552
100022,2015-08-14,169571601127.50964,117366000000.0,15.0,-3.0,0.2,0.0,0.9806991187663616
100022,2015-08-21,165933017339.39374,117366000000.0,15.0,-3.0,0.2,0.0,0.981884771009303
100022,2015-08-28,167613108072.398,117366000000.0,15.0,-3.0,0.2,0.0,0.9813420353278567
100022,2015-09-04,166057509771.663,117366000000.0,15.0,-3.0,0.2,0.0,0.9818448344458711
100022,2015-09-11,169179631688.32565,117366000000.0,15.0,-3.0,0.2,0.0,0.9808286709563874
100022,2015-09-18,169301443322.40384,117366000000.0,15.0,-3.0,0.2,0.0,0.9807884573363825
100022,2015-09-25,165196315956.01898,117366000000.0,15.0,-3.0,0.2,0.0,0.9821201837147161
100022,2015-10-02,164790559535.31607,117366000000.0,15.0,-3.0,0.2,0.0,0.9822491718793765
100022,2015-10-09,170553193056.18176,117366000000.0,15.0,-3.0,0.2,0.0,0.9803727604948466
100022,2015-10-16,169934679416.72644,117366000000.0,15.0,-3.0,0.2,0.0,0.9805787236254927
100022,2015-10-23,173909189562.16556,117366000000.0,15.0,-3.0,0.2,0.0,0.979236269382524
100022,2015-10-30,173955994095.11047,117366000000.0,15.0,-3.0,0.2,0.0,0.9792201939317154
100022,2015-11-06,175559278730.18723,117366000000.0,15.0,-3.0,0.2,0.0,0.9786658089236859
100022,2015-11-13,174713222338.63586,117366000000.0,15.0,-3.0,0.2,0.0,0.9789592594718284
100022,2015-11-20,177506821115.9345,117366000000.0,15.0,-3.0,0.2,0.0,0.977982697388395
100022,2015-11-27,178941512456.7983,117366000000.0,15.0,-3.0,0.2,0.0,0.977472712709774
100022,2015-12-04,176833649549.96985,117366000000.0,15.0,-3.0,0.2,0.0,0.978220014000667
100022,2015-12-11,174439480939.77728,117366000000.0,15.0,-3.0,0.2,0.0,0.9790537747178881
100022,2015-12-18,176032728493.97845,117366000000.0,15.0,-3.0,0.2,0.0,0.978500719168176
100022,2015-12-25,177142114794.92334,117366000000.0,15.0,-3.0,0.2,0.0,0.9781114259618613
100022,2016-01-01,176605437004.5987,117366000000.0,14.601361169276123,0.009543471107228202,0.0030657832111749606,0.0014467984938821312,0.0002529596105872631
100022,2016-01-08,168108652430.7837,117366000000.0,14.601361169276123,0.009543471107228202,0.0030657832111749606,0.0014467984938821312,0.0005758537388340068
100022,2016-01-15,164826510128.41745,117366000000.0,14.601361169276123,0.009543471107228202,0.0030657832111749606,0.0014467984938821312,0.0008012838188658957
100022,2016-01-22,165859787832.12735,117366000000.0,14.601361169276123,0.009543471107228202,0.0030657832111749606,0.0014467984938821312,0.0007215641323269753
