gvkey,company,date,alpha,beta,delta,mu,A_used,L_used,PD_P_1y,PD_Q_1y,q_feasible,train_end_date,train_end_anchor,oos_end_anchor,training_end
101202,L'AIR LIQUIDE SA,2014-04-04,2.25,-0.00025677622229741405,0.00042144034698036054,0.000593946438370544,45220034553.76921,14206500000.0,0.0002468928992304809,0.01468106680056141,True,2014-03-28,2014-03-31,2014-06-30,0
101202,L'AIR LIQUIDE SA,2014-04-11,2.25,-0.00025677622229741405,0.00042144034698036054,0.000593946438370544,44753343103.8214,14206500000.0,0.0002556219707949833,0.014899001202210212,True,2014-03-28,2014-03-31,2014-06-30,0
101202,L'AIR LIQUIDE SA,2014-04-18,2.25,-0.00025677622229741405,0.00042144034698036054,0.000593946438370544,45115189126.886795,14206500000.0,0.00024881783345990854,0.014915073259026872,True,2014-03-28,2014-03-31,2014-06-30,0
101202,L'AIR LIQUIDE SA,2014-04-25,2.25,-0.00025677622229741405,0.00042144034698036054,0.000593946438370544,46430624939.445984,14206500000.0,0.00022607803488037842,0.014433963695993871,True,2014-03-28,2014-03-31,2014-06-30,0
101202,L'AIR LIQUIDE SA,2014-05-02,2.25,-0.00025677622229741405,0.00042144034698036054,0.000593946438370544,46543933791.0429,14206500000.0,0.0002242549220956687,0.014630543585608615,True,2014-03-28,2014-03-31,2014-06-30,0
101202,L'AIR LIQUIDE SA,2014-05-09,2.25,-0.00025677622229741405,0.00042144034698036054,0.000593946438370544,47047016780.29526,14206500000.0,0.00021639987523800727,0.01464189708479906,True,2014-03-28,2014-03-31,2014-06-30,0
101202,L'AIR LIQUIDE SA,2014-05-16,2.25,-0.00025677622229741405,0.00042144034698036054,0.000593946438370544,47257085405.65901,14206500000.0,0.00021323169775555687,0.014756577922770967,True,2014-03-28,2014-03-31,2014-06-30,0
101202,L'AIR LIQUIDE SA,2014-05-23,2.25,-0.00025677622229741405,0.00042144034698036054,0.000593946438370544,47400368983.655365,14206500000.0,0.00021110721976549393,0.014867117525026815,True,2014-03-28,2014-03-31,2014-06-30,0
101202,L'AIR LIQUIDE SA,2014-05-30,2.25,-0.00025677622229741405,0.00042144034698036054,0.000593946438370544,47575983570.934105,14206500000.0,0.00020854284901346601,0.01493392251658366,True,2014-03-28,2014-03-31,2014-06-30,0
101202,L'AIR LIQUIDE SA,2014-06-06,2.25,-0.00025677622229741405,0.00042144034698036054,0.000593946438370544,48008348883.95524,14206500000.0,0.00020240911721401838,0.014943100627973912,True,2014-03-28,2014-03-31,2014-06-30,0
101202,L'AIR LIQUIDE SA,2014-06-13,2.25,-0.00025677622229741405,0.00042144034698036054,0.000593946438370544,48020946771.50551,14206500000.0,0.0002022341367131746,0.015287656031026728,True,2014-03-28,2014-03-31,2014-06-30,0
101202,L'AIR LIQUIDE SA,2014-06-20,2.25,-0.00025677622229741405,0.00042144034698036054,0.000593946438370544,48128856489.2103,14206500000.0,0.00020074378895215144,0.015141728094644381,True,2014-03-28,2014-03-31,2014-06-30,0
101202,L'AIR LIQUIDE SA,2014-06-27,2.25,-0.00025677622229741405,0.00042144034698036054,0.000593946438370544,47766993370.46196,14206500000.0,0.00020580203257788713,0.015268774069767075,True,2014-03-28,2014-03-31,2014-06-30,0
101202,L'AIR LIQUIDE SA,2014-09-26,2.25,-0.0001449658041948202,0.00043992554772651115,0.0006211402086909785,47180078548.15372,14206500000.0,0.00022317699233293263,0.016823555153278897,True,2014-09-26,2014-09-30,2014-12-31,1
101202,L'AIR LIQUIDE SA,2014-10-03,2.25,-0.0001449658041948202,0.00043992554772651115,0.0006211402086909785,46558119362.11977,14206500000.0,0.00023321158627468815,0.016862617784533067,True,2014-09-26,2014-09-30,2014-12-31,0
101202,L'AIR LIQUIDE SA,2014-10-10,2.25,-0.0001449658041948202,0.00043992554772651115,0.0006211402086909785,46002940959.23676,14206500000.0,0.0002427000528306907,0.017018384297336358,True,2014-09-26,2014-09-30,2014-12-31,0
101202,L'AIR LIQUIDE SA,2014-10-17,2.25,-0.0001449658041948202,0.00043992554772651115,0.0006211402086909785,45925050275.77238,14206500000.0,0.00024407350335022243,0.016909618190709706,True,2014-09-26,2014-09-30,2014-12-31,0
101202,L'AIR LIQUIDE SA,2014-10-24,2.25,-0.0001449658041948202,0.00043992554772651115,0.0006211402086909785,46152754139.2523,14206500000.0,0.00024008810439050677,0.01686906869905807,True,2014-09-26,2014-09-30,2014-12-31,0
101202,L'AIR LIQUIDE SA,2014-10-31,2.25,-0.0001449658041948202,0.00043992554772651115,0.0006211402086909785,47391327390.83289,14206500000.0,0.0002199038210499415,0.016659193297592856,True,2014-09-26,2014-09-30,2014-12-31,0
101202,L'AIR LIQUIDE SA,2014-11-07,2.25,-0.0001449658041948202,0.00043992554772651115,0.0006211402086909785,47192811386.73886,14206500000.0,0.0002229778151734675,0.01672510298080881,True,2014-09-26,2014-09-30,2014-12-31,0
101202,L'AIR LIQUIDE SA,2014-11-14,2.25,-0.0001449658041948202,0.00043992554772651115,0.0006211402086909785,47685000015.989136,14206500000.0,0.00021546220337100093,0.016572477291230542,True,2014-09-26,2014-09-30,2014-12-31,0
101202,L'AIR LIQUIDE SA,2014-11-21,2.25,-0.0001449658041948202,0.00043992554772651115,0.0006211402086909785,48734669514.02632,14206500000.0,0.00020055762486541475,0.016249801437019384,True,2014-09-26,2014-09-30,2014-12-31,0
101202,L'AIR LIQUIDE SA,2014-11-28,2.25,-0.0001449658041948202,0.00043992554772651115,0.0006211402086909785,49095901531.968056,14206500000.0,0.00019575634033770084,0.01613359628302421,True,2014-09-26,2014-09-30,2014-12-31,0
101202,L'AIR LIQUIDE SA,2014-12-05,2.25,-0.0001449658041948202,0.00043992554772651115,0.0006211402086909785,49474523732.76499,14206500000.0,0.00019089185458435348,0.01602479440295955,True,2014-09-26,2014-09-30,2014-12-31,0
101202,L'AIR LIQUIDE SA,2014-12-12,2.25,-0.0001449658041948202,0.00043992554772651115,0.0006211402086909785,47589239635.214325,14206500000.0,0.0002168968617585102,0.016445407408996568,True,2014-09-26,2014-09-30,2014-12-31,0
101202,L'AIR LIQUIDE SA,2014-12-19,2.25,-0.0001449658041948202,0.00043992554772651115,0.0006211402086909785,49104393492.86193,14206500000.0,0.00019564537956571145,0.016228469159364132,True,2014-09-26,2014-09-30,2014-12-31,0
101202,L'AIR LIQUIDE SA,2014-12-26,2.25,-0.00015921847684225132,0.00047816041258663894,0.001274547392712644,49639439261.33971,14206500000.0,0.00018453929802576593,,False,2014-12-26,2014-12-31,2015-03-31,1
101204,SANOFI,2014-03-28,2.25,-0.00023862068834610021,0.0007829214215509242,0.0012984593241964412,139394768130.53918,39051000000.0,0.0002907643834168393,0.034705119252895496,True,2014-03-28,2014-03-31,2014-06-30,1
101204,SANOFI,2014-04-04,2.25,-0.00023862068834610021,0.0007829214215509242,0.0012984593241964412,139453223198.66028,39051000000.0,0.00029037098948783864,0.03451760006245462,True,2014-03-28,2014-03-31,2014-06-30,0
101204,SANOFI,2014-04-11,2.25,-0.00023862068834610021,0.0007829214215509242,0.0012984593241964412,137524606442.95135,39051000000.0,0.00030374673153384297,0.03487427904033847,True,2014-03-28,2014-03-31,2014-06-30,0
101204,SANOFI,2014-04-18,2.25,-0.00023862068834610021,0.0007829214215509242,0.0012984593241964412,138972787735.61243,39051000000.0,0.0002936260949772414,0.03479962735109323,True,2014-03-28,2014-03-31,2014-06-30,0
101204,SANOFI,2014-04-25,2.25,-0.00023862068834610021,0.0007829214215509242,0.0012984593241964412,139865041753.7927,39051000000.0,0.00028762013102522484,0.034496358792713275,True,2014-03-28,2014-03-31,2014-06-30,0
101204,SANOFI,2014-05-02,2.25,-0.00023862068834610021,0.0007829214215509242,0.0012984593241964412,141821961393.1463,39051000000.0,0.00027502614145138966,0.03449478400703572,True,2014-03-28,2014-03-31,2014-06-30,0
101204,SANOFI,2014-05-09,2.25,-0.00023862068834610021,0.0007829214215509242,0.0012984593241964412,142820725870.1489,39051000000.0,0.00026888944144742513,0.034504496670034884,True,2014-03-28,2014-03-31,2014-06-30,0
101204,SANOFI,2014-05-16,2.25,-0.00023862068834610021,0.0007829214215509242,0.0012984593241964412,140829759911.73532,39051000000.0,0.00028131471535902626,0.0349127178397421,True,2014-03-28,2014-03-31,2014-06-30,0
101204,SANOFI,2014-05-23,2.25,-0.00023862068834610021,0.0007829214215509242,0.0012984593241964412,141323851296.49054,39051000000.0,0.0002781587416333803,0.03500266512130405,True,2014-03-28,2014-03-31,2014-06-30,0
101204,SANOFI,2014-05-30,2.25,-0.00023862068834610021,0.0007829214215509242,0.0012984593241964412,142422520112.5418,39051000000.0,0.00027131335265185533,0.034981362277848906,True,2014-03-28,2014-03-31,2014-06-30,0
101204,SANOFI,2014-06-06,2.25,-0.00023862068834610021,0.0007829214215509242,0.0012984593241964412,143349636155.256,39051000000.0,0.00026571570454081883,0.03497734490937776,True,2014-03-28,2014-03-31,2014-06-30,0
101204,SANOFI,2014-06-13,2.25,-0.00023862068834610021,0.0007829214215509242,0.0012984593241964412,144139037769.31348,39051000000.0,0.0002610738957966923,0.03525274146186262,True,2014-03-28,2014-03-31,2014-06-30,0
101204,SANOFI,2014-06-20,2.25,-0.00023862068834610021,0.0007829214215509242,0.0012984593241964412,144740231662.36368,39051000000.0,0.0002576132236221293,0.03505278043850475,True,2014-03-28,2014-03-31,2014-06-30,0
101204,SANOFI,2014-06-27,2.25,-0.00017121573010766522,0.0007231177985220677,0.0013808289286228322,141603108610.7484,39051000000.0,0.0002500662053872803,,False,2014-06-27,2014-06-30,2014-09-30,1
101204,SANOFI,2014-12-26,2.25,-0.00032923677528727834,0.0009784455776452043,7.900788473707623e-05,138591901284.75775,39051000000.0,0.00046524547642309285,0.0014842253787375008,True,2014-12-26,2014-12-31,2015-03-31,1
101204,SANOFI,2015-01-02,2.25,-0.00032923677528727834,0.0009784455776452043,7.900788473707623e-05,139192781913.20447,39051000000.0,0.00045869874189408854,0.0014782863664490307,True,2014-12-26,2014-12-31,2015-03-31,0
101204,SANOFI,2015-01-09,2.25,-0.00032923677528727834,0.0009784455776452043,7.900788473707623e-05,138454391220.0304,39051000000.0,0.0004667617172370368,0.001511163293104995,True,2014-12-26,2014-12-31,2015-03-31,0
101204,SANOFI,2015-01-16,2.25,-0.00032923677528727834,0.0009784455776452043,7.900788473707623e-05,145163136270.63437,39051000000.0,0.00040002394590041854,0.0013622406624028299,True,2014-12-26,2014-12-31,2015-03-31,0
101204,SANOFI,2015-01-23,2.25,-0.00032923677528727834,0.0009784455776452043,7.900788473707623e-05,150032694167.33307,39051000000.0,0.0003595521056894912,0.0013207837950484583,True,2014-12-26,2014-12-31,2015-03-31,0
101204,SANOFI,2015-01-30,2.25,-0.00032923677528727834,0.0009784455776452043,7.900788473707623e-05,147934765781.2827,39051000000.0,0.00037626443074322696,0.0013631847018917875,True,2014-12-26,2014-12-31,2015-03-31,0
101204,SANOFI,2015-02-06,2.25,-0.00032923677528727834,0.0009784455776452043,7.900788473707623e-05,151923401141.48212,39051000000.0,0.0003453523220200566,0.0012974462868525598,True,2014-12-26,2014-12-31,2015-03-31,0
101204,SANOFI,2015-02-13,2.25,-0.00032923677528727834,0.0009784455776452043,7.900788473707623e-05,154214779805.0871,39051000000.0,0.0003291563394175966,0.001241288561194087,True,2014-12-26,2014-12-31,2015-03-31,0
