gvkey,window_idx,param,ac_1,geweke_z,abs_geweke_z,flag_geweke_2,flag_ac1_03
100022,0,mu,0.010303367834773855,0.2356660763530483,0.2356660763530483,False,False
100022,0,sigma,0.03684122261322439,2.439469150755693,2.439469150755693,True,False
100022,0,theta,0.010480548274363467,0.20810560003781498,0.20810560003781498,False,False
100022,1,mu,-0.010431297524194236,-0.23414077721919396,0.23414077721919396,False,False
100022,1,sigma,-0.01613466304076893,-0.0676335563922323,0.0676335563922323,False,False
100022,1,theta,-0.010299323603325927,-0.23231438698382192,0.23231438698382192,False,False
100022,2,mu,0.007078715764352091,1.0172907247661838,1.0172907247661838,False,False
100022,2,sigma,0.03185044306844076,-0.6483075430258807,0.6483075430258807,False,False
100022,2,theta,0.007268718576727458,1.0257405056864457,1.0257405056864457,False,False
100022,3,mu,0.012981220335644418,-2.5296491956746676,2.5296491956746676,True,False
100022,3,sigma,0.009872654211915273,-1.077179807518053,1.077179807518053,False,False
100022,3,theta,0.013289677982892458,-2.5110670527699046,2.5110670527699046,True,False
100022,4,mu,0.028342573641954198,0.6935112010048265,0.6935112010048265,False,False
100022,4,sigma,-0.027123220163847616,-1.1455887252525951,1.1455887252525951,False,False
100022,4,theta,0.028521907058165548,0.7060926797779179,0.7060926797779179,False,False
100022,5,mu,0.032208390154715834,0.013622641048409897,0.013622641048409897,False,False
100022,5,sigma,-0.0219953685014558,1.72749791831034,1.72749791831034,False,False
100022,5,theta,0.03270639649471723,-0.003189024311252024,0.003189024311252024,False,False
100022,6,mu,-0.0038726990354336016,0.039378738819232074,0.039378738819232074,False,False
100022,6,sigma,0.033803918409089834,-0.3806103900293087,0.3806103900293087,False,False
100022,6,theta,-0.003475691491094946,0.04370686658590966,0.04370686658590966,False,False
100022,7,mu,-0.01301855181406928,-0.8141691634945346,0.8141691634945346,False,False
100022,7,sigma,0.017163519159054414,-1.3666849454928023,1.3666849454928023,False,False
100022,7,theta,-0.013127635634333725,-0.8007125634291284,0.8007125634291284,False,False
100022,8,mu,-0.022081942609041855,0.7355379865655951,0.7355379865655951,False,False
100022,8,sigma,0.02064631655630638,-0.7087862376499495,0.7087862376499495,False,False
100022,8,theta,-0.022360510485906728,0.7417812259459982,0.7417812259459982,False,False
100022,9,mu,0.0011394692822246344,1.4988716603668821,1.4988716603668821,False,False
100022,9,sigma,-0.0038781080558035067,-1.3008538751503993,1.3008538751503993,False,False
100022,9,theta,0.001416165191440165,1.506154495751906,1.506154495751906,False,False
100022,10,mu,0.01544963920560789,-1.1135272932933016,1.1135272932933016,False,False
100022,10,sigma,-0.004967573205204213,0.09145851644040442,0.09145851644040442,False,False
100022,10,theta,0.0153292000290165,-1.1139761067647969,1.1139761067647969,False,False
100022,11,mu,-0.009749634024677628,-1.68918580760284,1.68918580760284,False,False
100022,11,sigma,-0.009493842077864481,-1.116423481185198,1.116423481185198,False,False
