date,A_hat_oos,theta_oos,L_proxy,PD_P,PD_Q,alpha,beta1,delta,beta0,em_converged,em_n_iter,window_train_start,window_train_end,window_oos_start,window_oos_end,gvkey,window_idx,ok,msg
2014-04-04,159097257655.13974,-9.792205157422984,102725000000.0,1.2047623098759621e-11,1.2519935251774327e-09,271.81119707176134,60.98540177976534,1.4257516606975154,-0.27497392855536257,True,3,2012-04-06,2014-03-28,2014-04-04,2014-06-27,100022,0,True,ok
2014-04-11,156918863003.99738,-9.814829018267858,102725000000.0,4.3169236799098105e-11,3.970244150823639e-09,271.81119707176134,60.98540177976534,1.4257516606975154,-0.27497392855536257,True,3,2012-04-06,2014-03-28,2014-04-04,2014-06-27,100022,0,True,ok
2014-04-18,158080962457.29874,-9.836432871920579,102725000000.0,2.1899006142640348e-11,2.1824520656459466e-09,271.81119707176134,60.98540177976534,1.4257516606975154,-0.27497392855536257,True,3,2012-04-06,2014-03-28,2014-04-04,2014-06-27,100022,0,True,ok
2014-04-25,156518062929.1611,-9.798120975372015,102725000000.0,5.449083225940621e-11,4.854962156138093e-09,271.81119707176134,60.98540177976534,1.4257516606975154,-0.27497392855536257,True,3,2012-04-06,2014-03-28,2014-04-04,2014-06-27,100022,0,True,ok
2014-05-02,156225752601.64978,-9.845144033138915,102725000000.0,6.455442827042495e-11,5.764901303865629e-09,271.81119707176134,60.98540177976534,1.4257516606975154,-0.27497392855536257,True,3,2012-04-06,2014-03-28,2014-04-04,2014-06-27,100022,0,True,ok
2014-05-09,155692467559.71436,-9.870686561007332,102725000000.0,8.786943912112863e-11,7.676335625814092e-09,271.81119707176134,60.98540177976534,1.4257516606975154,-0.27497392855536257,True,3,2012-04-06,2014-03-28,2014-04-04,2014-06-27,100022,0,True,ok
2014-05-16,154694296306.58,-9.904434937474534,102725000000.0,1.5602337510224956e-10,1.2994158189921436e-08,271.81119707176134,60.98540177976534,1.4257516606975154,-0.27497392855536257,True,3,2012-04-06,2014-03-28,2014-04-04,2014-06-27,100022,0,True,ok
2014-05-23,156788101684.90344,-9.934174942049061,102725000000.0,4.65804105022454e-11,4.475137248912627e-09,271.81119707176134,60.98540177976534,1.4257516606975154,-0.27497392855536257,True,3,2012-04-06,2014-03-28,2014-04-04,2014-06-27,100022,0,True,ok
2014-05-30,158130959272.64856,-9.956050527935723,102725000000.0,2.1266449181798986e-11,2.241015748714627e-09,271.81119707176134,60.98540177976534,1.4257516606975154,-0.27497392855536257,True,3,2012-04-06,2014-03-28,2014-04-04,2014-06-27,100022,0,True,ok
2014-06-06,158618422580.15714,-9.976938571346189,102725000000.0,1.5972700563930717e-11,1.7505159895996216e-09,271.81119707176134,60.98540177976534,1.4257516606975154,-0.27497392855536257,True,3,2012-04-06,2014-03-28,2014-04-04,2014-06-27,100022,0,True,ok
2014-06-13,157383599007.97922,-10.04968623536103,102725000000.0,3.292771141762361e-11,3.4515183792676374e-09,271.81119707176134,60.98540177976534,1.4257516606975154,-0.27497392855536257,True,3,2012-04-06,2014-03-28,2014-04-04,2014-06-27,100022,0,True,ok
2014-06-20,158452474773.46478,-10.023834094878652,102725000000.0,1.760927526247093e-11,1.9503115378837327e-09,271.81119707176134,60.98540177976534,1.4257516606975154,-0.27497392855536257,True,3,2012-04-06,2014-03-28,2014-04-04,2014-06-27,100022,0,True,ok
2014-06-27,158338245624.73944,-10.03467354663912,102725000000.0,1.8831149344859383e-11,2.080884793231613e-09,271.81119707176134,60.98540177976534,1.4257516606975154,-0.27497392855536257,True,3,2012-04-06,2014-03-28,2014-04-04,2014-06-27,100022,0,True,ok
