gvkey,date,sigma_hat,mu_hat,V_0,V_used,B_used,PD_Q,PD_P,train_start_date,train_end_date,training_end
100022,2014-03-31,0.07936583869460398,0.07595275982922635,136387383398.88445,157764880619.0038,102725000000.0,3.7159687656620026e-08,1.2802197879033993e-10,2012-04-01,2014-03-31,1
100022,2014-04-04,0.07936583869460398,0.07942428364445486,0.0,159097257620.67166,102725000000.0,2.037122285871549e-08,4.803827619806273e-11,,2014-03-31,0
100022,2014-04-11,0.07936583869460398,0.07194136253606186,0.0,156918862887.33667,102725000000.0,5.412197132352078e-08,2.734795756409038e-10,,2014-03-31,0
100022,2014-04-18,0.07936583869460398,0.07488423504376021,0.0,158080962399.38574,102725000000.0,3.262744156335352e-08,1.1863198746585501e-10,,2014-03-31,0
100022,2014-04-25,0.07936583869460398,0.06943607166009658,0.0,156518062792.22983,102725000000.0,6.415137856121264e-08,4.0946877199551236e-10,,2014-03-31,0
100022,2014-05-02,0.07936583869460398,0.06793614805080046,0.0,156225752450.1339,102725000000.0,7.424728960666765e-08,5.344697856361942e-10,,2014-03-31,0
100022,2014-05-09,0.07936583869460398,0.06573073753768924,0.0,155692467359.37802,102725000000.0,9.465028091326227e-08,8.305761872353917e-10,,2014-03-31,0
100022,2014-05-16,0.07936583869460398,0.06215384067286713,0.0,154694295970.91824,102725000000.0,1.4786203743871715e-07,1.7979991773813712e-09,,2014-03-31,0
100022,2014-05-23,0.07936583869460398,0.06786902947303725,0.0,156788101576.5077,102725000000.0,6.000772836151796e-08,4.0440726085047324e-10,,2014-03-31,0
100022,2014-05-30,0.07936583869460398,0.07122082813137624,0.0,158130959213.5138,102725000000.0,3.343194336621124e-08,1.558185252167251e-10,,2014-03-31,0
100022,2014-06-06,0.07936583869460398,0.07202767178171064,0.0,158618422531.61252,102725000000.0,2.7134606448062874e-08,1.1353061292031179e-10,,2014-03-31,0
100022,2014-06-13,0.07936583869460398,0.06789484291059457,0.0,157383598909.632,102725000000.0,4.825571321881691e-08,2.983912701387833e-10,,2014-03-31,0
100022,2014-06-20,0.07936583869460398,0.07037088139897783,0.0,158452474720.84436,102725000000.0,2.9756099974862663e-08,1.415520653397839e-10,,2014-03-31,0
100022,2014-06-27,0.07936583869460398,0.06947582171327892,0.0,158338245566.34662,102725000000.0,3.143901670596821e-08,1.6141859680893734e-10,,2014-03-31,0
100022,2014-06-30,0.07617616655747048,0.10070904202762478,130331783305.27591,158491133890.2782,102725000000.0,7.867343198355087e-09,1.5120266960680558e-12,2012-07-01,2014-06-30,1
100022,2014-07-04,0.07617616655747048,0.10454269989838332,0.0,160023488917.9133,102725000000.0,3.769001904984288e-09,4.237665902534347e-13,,2014-06-30,0
100022,2014-07-11,0.07617616655747048,0.09788235574706357,0.0,158174427420.1755,102725000000.0,9.261609311393923e-09,2.3686010323862184e-12,,2014-06-30,0
100022,2014-07-18,0.07617616655747048,0.09980933561955123,0.0,159093182423.22952,102725000000.0,5.908353460091305e-09,1.1533459471936626e-12,,2014-06-30,0
100022,2014-07-25,0.07617616655747048,0.10020067702130829,0.0,159519549735.57556,102725000000.0,4.844649726007714e-09,8.640318713400174e-13,,2014-06-30,0
100022,2014-08-01,0.07617616655747048,0.08714877975304532,0.0,155505148250.72922,102725000000.0,3.3065850305049405e-08,2.8979678450550408e-11,,2014-06-30,0
100022,2014-08-08,0.07617616655747048,0.08410984876805186,0.0,154759217372.27316,102725000000.0,4.69408731157025e-08,5.746094119131362e-11,,2014-06-30,0
100022,2014-08-15,0.07617616655747048,0.08310344614510123,0.0,154668465072.3665,102725000000.0,4.895994959709121e-08,6.594302006018767e-11,,2014-06-30,0
100022,2014-08-22,0.07617616655747048,0.08746571652704996,0.0,156369515801.56583,102725000000.0,2.2037596134119725e-08,1.7264558814385022e-11,,2014-06-30,0
100022,2014-08-29,0.07617616655747048,0.0859785207671092,0.0,156118657535.55908,102725000000.0,2.5285998324747464e-08,2.2708349333067316e-11,,2014-06-30,0
100022,2014-09-05,0.07617616655747048,0.09140977640285335,0.0,158241281091.06097,102725000000.0,9.507707539119422e-09,4.134285422862611e-12,,2014-06-30,0
100022,2014-09-12,0.07617616655747048,0.08607083232419174,0.0,156650274172.90793,102725000000.0,2.0115818663769204e-08,1.666282768261821e-11,,2014-06-30,0
100022,2014-09-19,0.07617616655747048,0.08461015802346948,0.0,156390604443.53378,102725000000.0,2.2835741736547396e-08,2.197373079464315e-11,,2014-06-30,0
100022,2014-09-26,0.07617616655747048,0.07815302749312587,0.0,154377288399.42313,102725000000.0,5.890456507486707e-08,1.1847251645025502e-10,,2014-06-30,0
100022,2014-09-30,0.0775275354704268,0.07614459732313669,133046840384.49123,154004207805.38663,102725000000.0,1.1582232011722814e-07,3.493694123735594e-10,2012-10-01,2014-09-30,1
100022,2014-10-03,0.0775275354704268,0.07478818104039511,0.0,153799150505.90607,102725000000.0,1.259136091392148e-07,4.347475792627127e-10,,2014-09-30,0
100022,2014-10-10,0.0775275354704268,0.06409100289575077,0.0,150689614511.4946,102725000000.0,4.977418740423407e-07,5.014038312243001e-09,,2014-09-30,0
100022,2014-10-17,0.0775275354704268,0.06548706519660023,0.0,151300750445.47705,102725000000.0,3.775863822065818e-07,3.306534379805624e-09,,2014-09-30,0
100022,2014-10-24,0.0775275354704268,0.06819760225425793,0.0,152337846837.91116,102725000000.0,2.3953235171481754e-07,1.575407659888824e-09,,2014-09-30,0
100022,2014-10-31,0.0775275354704268,0.07330586117741278,0.0,154170961520.9259,102725000000.0,1.0647584365056281e-07,4.030628629345376e-10,,2014-09-30,0
100022,2014-11-07,0.0775275354704268,0.06898678191009303,0.0,152975464719.957,102725000000.0,1.8194324191245944e-07,1.064826762258581e-09,,2014-09-30,0
100022,2014-11-14,0.0775275354704268,0.0678791133696959,0.0,152807961029.19797,102725000000.0,1.9535231871714114e-07,1.2675560726444805e-09,,2014-09-30,0
100022,2014-11-21,0.0775275354704268,0.07650193948790948,0.0,155866799216.8362,102725000000.0,4.897054675794749e-08,1.257593198072119e-10,,2014-09-30,0
100022,2014-11-28,0.0775275354704268,0.08252463962271579,0.0,158143520720.45746,102725000000.0,1.712875656120856e-08,2.1876252157881192e-11,,2014-09-30,0
100022,2014-12-05,0.0775275354704268,0.08251044228654081,0.0,158380612115.82904,102725000000.0,1.5302102202475315e-08,1.9226498043305583e-11,,2014-09-30,0
100022,2014-12-12,0.0775275354704268,0.07425235090332372,0.0,155752301234.94864,102725000000.0,5.137425174590169e-08,1.612541775355579e-10,,2014-09-30,0
100022,2014-12-19,0.0775275354704268,0.07705767531948933,0.0,156944948993.97327,102725000000.0,3.003554114586575e-08,6.718977645275713e-11,,2014-09-30,0
100022,2014-12-26,0.0775275354704268,0.07795377749437005,0.0,157485818875.06973,102725000000.0,2.349684431649117e-08,4.645314801001648e-11,,2014-09-30,0
100022,2014-12-31,0.0792954380578365,0.053062455965426684,141955104239.26135,156859105575.8869,102725000000.0,6.213198849466856e-08,1.203138080491884e-09,2013-01-01,2014-12-31,1
100022,2015-01-02,0.0792954380578365,0.049225629737588254,0.0,155798034946.70837,102725000000.0,9.873479584032269e-08,2.71038196846e-09,,2014-12-31,0
100022,2015-01-09,0.0792954380578365,0.04911417575998746,0.0,155900738564.54065,102725000000.0,9.519016607783878e-08,2.600390739727113e-09,,2014-12-31,0
100022,2015-01-16,0.0792954380578365,0.0588293475608739,0.0,159189352811.14084,102725000000.0,2.258801416379488e-08,2.3865216947649584e-10,,2014-12-31,0
100022,2015-01-23,0.0792954380578365,0.07499835834868236,0.0,164802379782.13324,102725000000.0,1.8406282440316116e-09,3.2712873280281583e-12,,2014-12-31,0
100022,2015-01-30,0.0792954380578365,0.07537364657597286,0.0,165160137986.06625,102725000000.0,1.5550170469079531e-09,2.611400670629444e-12,,2014-12-31,0
100022,2015-02-06,0.0792954380578365,0.08068179721025939,0.0,167257300885.48257,102725000000.0,5.922735143598288e-10,5.187025784063639e-13,,2014-12-31,0
100022,2015-02-13,0.0792954380578365,0.08155084659839723,0.0,167817914692.8228,102725000000.0,4.5085378081859606e-10,3.521194174855593e-13,,2014-12-31,0
100022,2015-02-20,0.0792954380578365,0.0863448268801586,0.0,169815554195.57962,102725000000.0,1.7619404098799284e-10,7.436024555993543e-14,,2014-12-31,0
