gvkey,train_start,train_end,n_obs,window_idx,sigma_lo,sigma_med,sigma_hi,sigma_mean,mu_lo,mu_med,mu_hi,mu_mean,n_rejects
100022,2014-01-01,2015-12-31,105,0,0.0917600154000481,0.10344798136661065,0.11913896617561036,0.10407527708203174,-0.06297624007932519,0.08169291055923183,0.2240962442660497,0.08126994687762099,0
100022,2014-04-01,2016-03-31,105,1,0.10810143201592694,0.12219784479431212,0.14142297475275828,0.12298679008988575,-0.1038559530355803,0.06348927323850996,0.23777550596575822,0.06336334185280657,0
100022,2014-07-01,2016-06-30,105,2,0.1090951442602216,0.1238213614551158,0.14299589620984407,0.12433878848205798,-0.1379261285448883,0.0378154058939161,0.20927472948010473,0.036961925240491446,0
100022,2014-10-01,2016-09-30,105,3,0.10737793062601306,0.12237065730368268,0.14042309799161362,0.12269661461948554,-0.09444635487006997,0.07055770447872134,0.24481974298600093,0.07180863096872249,0
100022,2015-01-01,2016-12-31,105,4,0.10737981842431045,0.12185878346318271,0.1399043684870409,0.12224670029898067,-0.07559212291527534,0.09246379190053719,0.25917880143135147,0.09118122803437956,0
100022,2015-04-01,2017-03-31,105,5,0.1029825675220195,0.11684079750079439,0.1356260222331061,0.11747840538819228,-0.14478820894428027,0.020827112767371533,0.1873690438602201,0.020826767471815343,0
100022,2015-07-01,2017-06-30,105,6,0.09925095468836749,0.11271151304277266,0.12965982144309882,0.1131478081171343,-0.11029505541734555,0.04281884341029394,0.19151715631585137,0.04257160273646902,0
100022,2015-10-01,2017-09-30,105,7,0.09503551042365516,0.10802165250585793,0.12439719769478016,0.1084398145342847,-0.0656522326924103,0.08837181739157404,0.24015142212374935,0.08893439462415441,0
100022,2016-01-01,2017-12-31,105,8,0.09023697080677469,0.10277371800214839,0.11892766047315699,0.10320472941187277,-0.0869324003418848,0.05350982185145016,0.20125938172013966,0.05394393789614047,0
100022,2016-04-01,2018-03-31,105,9,0.06552517434363404,0.074443419682268,0.08617523515652065,0.07469295931933051,-0.05064665831244218,0.04597262409991888,0.14537772171190913,0.04724496123826162,0
100022,2016-07-01,2018-06-30,105,10,0.06340464666086046,0.07195007641605913,0.08335331391353948,0.07243726557127976,-0.05482060840114684,0.045451847078984906,0.1476468976489852,0.045523518297849175,0
100022,2016-10-01,2018-09-30,104,11,0.06410336419353904,0.07353887430273501,0.08431238312221344,0.07362758728737427,-0.0807631406890235,0.029780999835086166,0.13284788176451692,0.028468026062172837,0
100022,2017-01-01,2018-12-31,105,12,0.06088885505869508,0.0693636495823753,0.07950848592509954,0.06946711685411705,-0.09661489383366037,-0.003907875775813202,0.09164312443178603,-0.0030924809788256623,0
100022,2017-04-01,2019-03-31,104,13,0.054516986239680466,0.06211230991031546,0.07244541895017642,0.06240950906514324,-0.08188714718452117,0.003973837248252184,0.08522129191299598,0.0034476521764255077,0
100022,2017-07-01,2019-06-30,104,14,0.05714909345638854,0.06492373932560845,0.0747801498247954,0.06515259970863271,-0.09068081928309106,0.00122012534369661,0.09260846371032447,0.0014699048685874077,0
100022,2017-10-01,2019-09-30,105,15,0.0566122696299237,0.06417333005717896,0.07399876194385459,0.06447219553932158,-0.10426865217104263,-0.012491447367494114,0.08436570062585798,-0.011504524147216326,0
100022,2018-01-01,2019-12-31,105,16,0.05675440690494877,0.06454562304819998,0.07404643192503928,0.06482770129207818,-0.08594594190267868,0.0007948307154856517,0.09014666058269775,0.0012505255289988664,0
100022,2018-04-01,2020-03-31,105,17,0.09061871257327682,0.10330054914732326,0.11910056848161212,0.10358092134721089,-0.13278086070939252,0.01268589838252824,0.15177231792079257,0.012718353653907305,0
100022,2018-07-01,2020-06-30,105,18,0.09255505860441678,0.10541276995739167,0.12095889070059558,0.10593480631967606,-0.10246843592398723,0.04196592025950091,0.1874883640672674,0.04380971116105455,0
100022,2018-10-01,2020-09-30,105,19,0.09231990044641651,0.1051308932257474,0.12084531454816233,0.10551997898292542,-0.09789439074585396,0.054344615559835385,0.1942751424405932,0.053671861423762464,0
100022,2019-01-01,2020-12-31,105,20,0.0942107894296615,0.1071171546766975,0.12268465781491672,0.10751296066414567,-0.05953202547286487,0.08132082692892525,0.22830238475775855,0.08220355387739924,0
100022,2019-04-01,2021-03-31,105,21,0.09366205905462763,0.10653328503034143,0.1217077643133233,0.10681558732155778,-0.11005949169573147,0.03637249117475415,0.19304908908727958,0.03738215705049373,0
100022,2019-07-01,2021-06-30,105,22,0.09309389798535249,0.10593940458839712,0.12235370630660419,0.10639639762479888,-0.09144441822656403,0.049774610368598995,0.1983043973870805,0.04900594941372344,0
100022,2019-10-01,2021-09-30,105,23,0.09276838461850487,0.10629102277848138,0.12238908227717886,0.10639370335882062,-0.09817384169064085,0.0455719828952353,0.19106011051050428,0.045880646757634154,0
100022,2020-01-01,2021-12-31,105,24,0.09446782516847056,0.10716519595817844,0.12330538183272834,0.107544230415414,-0.10231275233949047,0.03756415884221665,0.1816448922548069,0.03867602469739353,0
100022,2020-04-01,2022-03-31,105,25,0.06876483802352526,0.07867175736819393,0.09055459267894357,0.07900443177380242,-0.09379341579734138,0.017244656963301692,0.12806085810602483,0.017739223586855916,0
100022,2020-07-01,2022-06-30,105,26,0.06571777212093086,0.07454416059493876,0.08580792519096926,0.07486198375007427,-0.11482605290230909,-0.009582519410747347,0.09542229164054376,-0.009777854176318735,0
100022,2020-10-01,2022-09-30,105,27,0.06521020497254934,0.0738636258751163,0.08526166756323346,0.07417982500764304,-0.13562314806083214,-0.028928757142478848,0.07573952790521048,-0.03026542212982355,0
100022,2021-01-01,2022-12-31,105,28,0.0624004701589907,0.0708097549829462,0.08163631606905188,0.07117582965470623,-0.12313852519690344,-0.02594826517387012,0.07259558013565184,-0.02500871168906286,0
100022,2021-04-01,2023-03-31,105,29,0.05758043938624615,0.06520535958835702,0.07477144932732721,0.06546086234195658,-0.08148831463405187,0.011262319626502284,0.09708630576486928,0.010043322556905761,0
100022,2021-07-01,2023-06-30,105,30,0.060265701772643974,0.06826830233270004,0.07898581601934555,0.06859296169358718,-0.07499719452990371,0.019920909103175042,0.11106353632494666,0.019732127960378248,0
100022,2021-10-01,2023-09-30,105,31,0.06199465631730687,0.07019887377853315,0.08146091693052801,0.07058624314834504,-0.10146631226817734,0.002772502626940876,0.09639217191747974,0.0016830535751849122,0
100022,2022-01-01,2023-12-31,104,32,0.060835116620616254,0.06963171990522043,0.07994046983112418,0.06978449067379831,-0.10457291521963426,-0.007871082930746672,0.09062847117428705,-0.007750682117430497,0
100022,2022-04-01,2024-03-31,105,33,0.0544165788907252,0.06136523301348221,0.07041567622517662,0.061678201647220876,-0.05562403625879307,0.030238769057086497,0.11307190769414793,0.029698665400790896,0
