date,window_idx,ok,msg,window_train_start,window_train_end,window_oos_start,window_oos_end,gvkey,A_hat_oos,theta_oos,L_proxy,PD_P,PD_Q,alpha,beta1,delta,beta0,em_converged,em_n_iter
2014-10-03,2,True,ok,2012-10-05,2014-09-26,2014-10-03,2014-12-26,220940,89520461976.37141,-5.731502842114537,59499000000.0,3.8607127244691325e-09,4.6697444329184235e-08,184.22850792535414,48.696613603336765,1.0279441286419784,-0.250398308185005,True,3.0
2014-10-10,2,True,ok,2012-10-05,2014-09-26,2014-10-03,2014-12-26,220940,88171140833.40065,-5.735950782858055,59499000000.0,1.2579497152498223e-08,1.4005805953595303e-07,184.22850792535414,48.696613603336765,1.0279441286419784,-0.250398308185005,True,3.0
2014-10-17,2,True,ok,2012-10-05,2014-09-26,2014-10-03,2014-12-26,220940,87751910337.13046,-5.712051210819418,59499000000.0,1.8077768026855835e-08,1.941437314548653e-07,184.22850792535414,48.696613603336765,1.0279441286419784,-0.250398308185005,True,3.0
2014-10-24,2,True,ok,2012-10-05,2014-09-26,2014-10-03,2014-12-26,220940,90216337849.73344,-5.714713681269856,59499000000.0,2.082546350678693e-09,2.6114795720283202e-08,184.22850792535414,48.696613603336765,1.0279441286419784,-0.250398308185005,True,3.0
2014-10-31,2,True,ok,2012-10-05,2014-09-26,2014-10-03,2014-12-26,220940,93228075551.26384,-5.729221528507878,59499000000.0,1.358676972538148e-10,2.0598286530515275e-09,184.22850792535414,48.696613603336765,1.0279441286419784,-0.250398308185005,True,3.0
2014-11-07,2,True,ok,2012-10-05,2014-09-26,2014-10-03,2014-12-26,220940,92302398558.27695,-5.733179019943442,59499000000.0,3.174251952123939e-10,4.5589504843075934e-09,184.22850792535414,48.696613603336765,1.0279441286419784,-0.250398308185005,True,3.0
2014-11-14,2,True,ok,2012-10-05,2014-09-26,2014-10-03,2014-12-26,220940,93319343681.83667,-5.725236482923997,59499000000.0,1.249084710925799e-10,1.900613135589919e-09,184.22850792535414,48.696613603336765,1.0279441286419784,-0.250398308185005,True,3.0
2014-11-21,2,True,ok,2012-10-05,2014-09-26,2014-10-03,2014-12-26,220940,95842462354.52655,-5.70709896943233,59499000000.0,1.186482095380946e-11,2.0781650598709309e-10,184.22850792535414,48.696613603336765,1.0279441286419784,-0.250398308185005,True,3.0
2014-11-28,2,True,ok,2012-10-05,2014-09-26,2014-10-03,2014-12-26,220940,97058146068.13206,-5.6993554046152965,59499000000.0,3.746193012170502e-12,7.014072474187143e-11,184.22850792535414,48.696613603336765,1.0279441286419784,-0.250398308185005,True,3.0
2014-12-05,2,True,ok,2012-10-05,2014-09-26,2014-10-03,2014-12-26,220940,98512886092.53085,-5.693425389814173,59499000000.0,9.294074010155333e-13,1.88544491206539e-11,184.22850792535414,48.696613603336765,1.0279441286419784,-0.250398308185005,True,3.0
2014-12-12,2,True,ok,2012-10-05,2014-09-26,2014-10-03,2014-12-26,220940,95415085053.12389,-5.697278112780303,59499000000.0,1.774485914518471e-11,3.017098280975569e-10,184.22850792535414,48.696613603336765,1.0279441286419784,-0.250398308185005,True,3.0
2014-12-19,2,True,ok,2012-10-05,2014-09-26,2014-10-03,2014-12-26,220940,97276682237.72522,-5.7176546916573585,59499000000.0,3.0413774345727628e-12,5.8194056922812395e-11,184.22850792535414,48.696613603336765,1.0279441286419784,-0.250398308185005,True,3.0
2014-12-26,2,True,ok,2012-10-05,2014-09-26,2014-10-03,2014-12-26,220940,97941854145.53448,-5.7258039723698815,59499000000.0,1.60923190469353e-12,3.2123615093363586e-11,184.22850792535414,48.696613603336765,1.0279441286419784,-0.250398308185005,True,3.0
2015-01-02,3,True,ok,2013-01-04,2014-12-26,2015-01-02,2015-03-27,220940,96795289959.67776,-12.316681935333051,59499000000.0,7.136812773108016e-12,5.66773473391335e-09,162.10747819384687,49.140108238145466,1.1259423210854889,-0.26728356965444566,True,3.0
2015-01-09,3,True,ok,2013-01-04,2014-12-26,2015-01-02,2015-03-27,220940,96564074937.1497,-12.332688644047373,59499000000.0,8.68016889476973e-12,6.750715845680163e-09,162.10747819384687,49.140108238145466,1.1259423210854889,-0.26728356965444566,True,3.0
2015-01-16,3,True,ok,2013-01-04,2014-12-26,2015-01-02,2015-03-27,220940,98535706927.26071,-12.358211640665118,59499000000.0,1.6199789704606016e-12,1.6292837696499132e-09,162.10747819384687,49.140108238145466,1.1259423210854889,-0.26728356965444566,True,3.0
2015-01-23,3,True,ok,2013-01-04,2014-12-26,2015-01-02,2015-03-27,220940,100840267148.77386,-12.446779134127311,59499000000.0,2.222332948269451e-13,3.101367163253622e-10,162.10747819384687,49.140108238145466,1.1259423210854889,-0.26728356965444566,True,3.0
2015-01-30,3,True,ok,2013-01-04,2014-12-26,2015-01-02,2015-03-27,220940,100983964003.13536,-12.442343129588878,59499000000.0,1.96188280065379e-13,2.779315765714256e-10,162.10747819384687,49.140108238145466,1.1259423210854889,-0.26728356965444566,True,3.0
2015-02-06,3,True,ok,2013-01-04,2014-12-26,2015-01-02,2015-03-27,220940,101922819891.52692,-12.468501634581344,59499000000.0,8.670578625298727e-14,1.3950849812840184e-10,162.10747819384687,49.140108238145466,1.1259423210854889,-0.26728356965444566,True,3.0
2015-02-13,3,True,ok,2013-01-04,2014-12-26,2015-01-02,2015-03-27,220940,102512284708.46933,-12.453949710951598,59499000000.0,5.183316413579757e-14,8.878710038297518e-11,162.10747819384687,49.140108238145466,1.1259423210854889,-0.26728356965444566,True,3.0
2015-02-20,3,True,ok,2013-01-04,2014-12-26,2015-01-02,2015-03-27,220940,98392559777.71732,-12.4682097757847,56703000000.0,2.731161318113345e-14,5.1446737050288953e-11,162.10747819384687,49.140108238145466,1.1259423210854889,-0.26728356965444566,True,3.0
