gvkey,window_idx,date,rf_used,B_used,asset_lo,asset_med,asset_hi,asset_mean,PD_Q_lo,PD_Q_med,PD_Q_hi,PD_Q_mean,PD_P_lo,PD_P_med,PD_P_hi,PD_P_mean
100022,0,2016-01-01,-0.0039681064438854725,117366000000.0,176603929051.1202,176605266825.15204,176605417456.28662,176605110797.15424,6.384664441114052e-06,5.671238838843166e-05,0.00042369080700365276,9.963764717469374e-05,2.2192439775131225e-10,1.4401745255908597e-06,0.0009372982948317618,0.00012432915783039666
100022,0,2016-01-08,-0.004354404010770185,117366000000.0,168101763018.3254,168107536558.16245,168108488454.9645,168106878972.12668,6.606659087515657e-05,0.00036310201069909436,0.001753222205221314,0.0005133482850470394,4.967823649427266e-09,1.3265587853500743e-05,0.003981471695103786,0.0004476818557485372
100022,0,2016-01-15,-0.00419042178824033,117366000000.0,164814498100.08994,164824230137.79108,164826111501.79352,164823154618.92368,0.00015348646921579189,0.0007103622689406284,0.0029340047232258026,0.0009409936737340023,1.6406452687409264e-08,3.0268521652741984e-05,0.006573729344940592,0.0007335328352582577
100022,0,2016-01-22,-0.0043253692270820475,117366000000.0,165849666114.60065,165857957939.4352,165859503265.91638,165857033047.02533,0.00011846652007043344,0.0005779591773418328,0.002504239735089382,0.0007804873985990319,1.1430052735564313e-08,2.346944050455286e-05,0.005658397289819815,0.0006280902360305123
100022,0,2016-01-29,-0.004507965977424311,117366000000.0,164031401148.16513,164042497218.45508,164044729325.1144,164041281286.0571,0.00018964000173663965,0.0008407653751376649,0.0033396372655348588,0.0010968986948387126,2.153973442065645e-08,3.6687132016383004e-05,0.007493795151580422,0.0008247019800547093
100022,0,2016-02-05,-0.0045924088331738225,117366000000.0,161475527912.34183,161491990550.49048,161495722991.41235,161490236877.61575,0.0003591351976917493,0.0013990577550744227,0.004941415230296322,0.0017479395480966351,5.3704214773462284e-08,6.848693677998185e-05,0.010944851186929517,0.0012066902657480326
100022,0,2016-02-12,-0.004854214196369675,117366000000.0,160207049952.00198,160227089013.37506,160231909923.68622,160224987849.58456,0.0004937995881226192,0.0018040019043283092,0.006010821290460372,0.0022090736071550252,8.544292615300213e-08,9.269562436482684e-05,0.01314504463636318,0.001455827125303343
100022,0,2016-02-19,-0.0049035102670349625,117366000000.0,162369789772.64557,162384277000.03198,162387402151.98358,162382721853.85886,0.0002917992569837657,0.0011854670359688264,0.004349697869229021,0.001501414170094231,3.862373161299995e-08,5.5110533518124325e-05,0.00960124813028993,0.0010565791228413159
100022,0,2016-02-26,-0.005039624489232013,117366000000.0,162422053471.73874,162436476086.3895,162439617161.77325,162434924398.95538,0.000289629128741947,0.001178437429796018,0.004329833418207838,0.0014932541832637673,3.788344842839507e-08,5.4428033595262803e-05,0.009527561309608194,0.0010483912871238408
100022,0,2016-03-04,-0.005090166714876379,117366000000.0,167700251337.25357,167706566118.05078,167707594717.181,167705829959.04443,7.580720419460837e-05,0.00040509000462863725,0.0019066498813635503,0.0005663889920803177,5.772874665221453e-09,1.4699347116621865e-05,0.004248605938182114,0.00047557247485881406
100022,0,2016-03-11,-0.004514127762970936,117366000000.0,165274846288.97333,165283976326.87323,165285707167.36603,165282963231.595,0.00013836568465476975,0.000654033677580583,0.002753627896187887,0.000873013478825548,1.3973025764445892e-08,2.7056418701202354e-05,0.0061509159992494756,0.000684641043423194
100022,0,2016-03-18,-0.004798085335352043,129410000000.0,179123188762.76068,179138919616.04352,179142334563.39914,179137225789.83105,0.0002846824199228203,0.001162355741276034,0.004284288400960948,0.0014745733596641646,3.7461653653732816e-08,5.4049675342355976e-05,0.009485031809735648,0.0010436682510962445
100022,0,2016-03-25,-0.004772163451317839,129410000000.0,177911880883.23563,177930453855.40244,177934693812.51453,177928478909.12476,0.000372619918392661,0.0014408237787450176,0.005054654668770562,0.0017958502410023584,5.615697500404321e-08,7.060757134708768e-05,0.01114022568347985,0.001228645828635563
100022,0,2016-03-31,-0.0048565473659640855,129410000000.0,178599369540.3247,178616306517.06323,178620070846.8554,178614493074.09143,0.000320849540496289,0.0012787126590496343,0.004610748764626982,0.0016093656611955924,4.464301805719474e-08,6.0818120557196854e-05,0.010171054862665143,0.0011200504284866507
100022,1,2016-04-01,-0.004837807331449042,129410000000.0,176881045446.1607,176958481019.53003,176982720872.76178,176951406851.94763,0.002577059472887356,0.006943871275729829,0.017658463712972725,0.007812443781207568,4.165584060629951e-06,0.0013510990059550875,0.054891485952318624,0.0071661516402722536
100022,1,2016-04-08,-0.0050752543855854945,129410000000.0,174652939023.92487,174749091821.6772,174781232228.05164,174740532864.37793,0.0036893176865502282,0.009251528700388792,0.022036788408960405,0.01024661416364231,6.895084750288131e-06,0.0018965878884670353,0.06711111751568265,0.008979296963541753
100022,1,2016-04-15,-0.005192512967785851,129410000000.0,177152425171.28238,177228342112.11765,177252001565.37064,177221395516.83527,0.002492332094454875,0.006760914418830286,0.017298757615129792,0.0076182171854606035,3.892648451810122e-06,0.0012952568303449788,0.05354008239313061,0.0069701033475394955
100022,1,2016-04-22,-0.005201653725431045,129410000000.0,179836679804.54465,179895008062.36972,179911744954.38266,179889515508.60312,0.0016110388674084645,0.004772905830689432,0.01323278703171601,0.005491817067295905,2.1220264991275427e-06,0.0008441567133376309,0.041646775244595105,0.0052866202485579075
100022,1,2016-04-29,-0.005180846165192681,129410000000.0,178447823910.4138,178514719326.42667,178534741022.46176,178508508417.5858,0.0020211956072349476,0.005719394980483209,0.015207715727573366,0.006508197884523046,2.8557428087941403e-06,0.0010548125884345533,0.04748157190479661,0.006102969856153567
100022,1,2016-05-06,-0.005255255910523684,129410000000.0,175525669359.6917,175614494956.41913,175643481258.43347,175606510030.11682,0.003233498931868373,0.008324974029572009,0.020311232819154437,0.009272413836664831,5.823335641731245e-06,0.0016642585674613761,0.062083248627002575,0.008222996941190856
100022,1,2016-05-13,-0.005330627522565173,129410000000.0,174361740031.70676,174460993145.0677,174494486310.60626,174452193481.01044,0.00388732320857313,0.009646987678146078,0.022761724212223944,0.010661306154024879,7.293772826221149e-06,0.0019774510337393037,0.0688551864425153,0.009245351080870021
100022,1,2016-05-20,-0.005381800125490273,129410000000.0,173100400964.66116,173212076553.03442,173251126962.21945,173202328229.9835,0.0047284631829427465,0.011286378882557638,0.025702348108199144,0.012374365960734409,9.29967747797108e-06,0.0023706194822646076,0.07590655932737939,0.010486210796612556
100022,1,2016-05-27,-0.005511659954575418,129410000000.0,175235051669.6421,175326768899.49854,175356989320.0664,175318556197.8316,0.003408645593819407,0.00868382075886524,0.020984230790330093,0.009650165401495528,6.160409005619975e-06,0.001736802712300383,0.06372298032778238,0.00846762040780568
100022,1,2016-06-03,-0.0055372453045172375,129410000000.0,173469911504.78543,173578130174.4724,173615608112.30103,173568643057.36365,0.004486496368334749,0.010820989772255466,0.024877474422938677,0.011888984556206262,8.66154815478421e-06,0.0022514354260476654,0.07379961762530313,0.010107291651039362
100022,1,2016-06-10,-0.005629565200942901,129410000000.0,172518766280.16595,172637069165.1795,172679138820.30447,172626822370.72864,0.005200638093952587,0.012181682363788847,0.027269259755368907,0.01330630469850211,1.0397903268981183e-05,0.002571554017562207,0.07934085218283342,0.011108575482576166
100022,1,2016-06-17,-0.005830890049573294,129410000000.0,171481438445.01978,171611823481.67163,171659576109.96768,171600686413.78964,0.0061130148666475636,0.013869482295710443,0.030158720808246497,0.015057370632982642,1.2688641176084471e-05,0.0029766837590025665,0.08712231605757136,0.012304596413743997
100022,1,2016-06-24,-0.006369741549732035,129410000000.0,171360179462.1282,171493154787.75613,171542108202.59265,171481825928.13376,0.006311442355106079,0.014229948221728394,0.030765943502280024,0.015430474875984987,1.298600353290671e-05,0.0030265917304008417,0.08810953732762211,0.012450782259915864
100022,1,2016-06-30,-0.0064907393106316035,129410000000.0,169605218146.85825,169760860393.0642,169820869344.85233,169747911291.4657,0.008201394870725031,0.01756683210648429,0.036246583513861654,0.018872264281297794,1.970323899218384e-05,0.0038577160756385846,0.10317328264170812,0.014773053391281482
100022,2,2016-07-01,-0.006520102512182806,129410000000.0,170828125267.79196,170974786156.49695,171032821839.8161,170963935525.5326,0.00730520616491705,0.016385168492731396,0.0340212302890018,0.017434407812688603,6.098352919782321e-05,0.0064229084691811815,0.14964682606487636,0.022215804439562514
100022,2,2016-07-08,-0.006736888254060118,129410000000.0,171257056410.54672,171398821765.77423,171454357879.74393,171388264856.2083,0.00689915871571807,0.01565384065269676,0.0328293450659955,0.016686814168200226,5.621914036012083e-05,0.006068632661877126,0.14544077351843226,0.021381393678334065
100022,2,2016-07-15,-0.006551731690406832,129410000000.0,175052921231.19788,175153496017.6318,175189059924.9652,175145543745.90408,0.003887471074978389,0.00991253802259882,0.02300229553006495,0.010781048929108389,2.496867808115771e-05,0.00364012046837625,0.10982537948257988,0.015153921249492303
100022,2,2016-07-22,-0.006313785077396439,129410000000.0,175535945779.22845,175631751115.7605,175665137446.5735,175624117434.8822,0.0035860384089363164,0.009296663594350305,0.021885090229882137,0.010142351469740626,2.2347633442999413e-05,0.0034116303470454056,0.10585958487536767,0.01449425683904976
100022,2,2016-07-29,-0.006389155644443183,129410000000.0,176492719280.38266,176580486601.2983,176610269595.89343,176573397998.8617,0.0030978403243255227,0.008276572273658887,0.019998906177858378,0.009081372989178648,1.7913263140138615e-05,0.0030008619052849734,0.09833262979490967,0.013264046012189858
100022,2,2016-08-05,-0.006410756428835769,129410000000.0,177026499410.62268,177110013798.28925,177137928652.14267,177103218415.1224,0.002851477028570338,0.007749727200439571,0.01900538366396234,0.008531710011784913,1.5823396480174007e-05,0.0027754476294061655,0.09432281018496436,0.012620385107952202
100022,2,2016-08-12,-0.006440386896702876,129410000000.0,178072892730.81726,178148574564.7956,178173122572.66864,178142328346.2605,0.0024197357091461594,0.006803506645087882,0.017183201748319357,0.007541120721958182,1.239080084916843e-05,0.002389644430746163,0.08753606568521786,0.011441687442962945
100022,2,2016-08-19,-0.006291722503460675,129410000000.0,176644936647.63763,176731314962.62546,176760485769.7658,176724321864.51578,0.0030170036200373156,0.008104664016570942,0.01967626090968239,0.008902155674293092,1.7292446906165493e-05,0.0029355633621505313,0.09717652632340212,0.013077629875162256
100022,2,2016-08-26,-0.0062981295314113875,129410000000.0,176590827026.69348,176677654010.7597,176707022472.43353,176670630050.6658,0.003043144249603178,0.008160354927104197,0.01978094405671507,0.008960228534709338,1.751097515527635e-05,0.0029589367425258894,0.09758652076454505,0.013143661950799235
100022,2,2016-09-02,-0.006461880961507811,129410000000.0,177429580673.6948,177510054111.74756,177536649890.72775,177503470463.41403,0.0026802720515213914,0.00737822465001491,0.018296049300939952,0.008143336786526203,1.4403673260909717e-05,0.0026152499207212224,0.09144797010381626,0.01215356588499077
100022,2,2016-09-09,-0.006376287794309841,129410000000.0,176417783397.65494,176506147403.16205,176536194755.32944,176499017942.6709,0.0031331231566203207,0.00835132219386997,0.020138749290594046,0.009159261285575421,1.822736620967586e-05,0.003031311644141113,0.09890639261457025,0.01335681369176809
100022,2,2016-09-16,-0.006482306155230866,129410000000.0,174284658644.34247,174392422439.31467,174431329630.16,174383997667.34604,0.004363156550246395,0.010865588637309997,0.024702620135878574,0.011767002765454308,2.9768186042997167e-05,0.004034790744605769,0.11637749862002293,0.016261132471297717
100022,2,2016-09-23,-0.006759091107089899,129410000000.0,175648596361.40024,175744175226.75476,175777378804.57187,175736527033.04202,0.0035670371833532574,0.009257435203752313,0.02181347879007665,0.010101657344353554,2.1769492950976853e-05,0.0033630217022784675,0.10494531587730485,0.014343322942740634
100022,2,2016-09-30,-0.0072177983354985735,129410000000.0,175230903674.3011,175330980153.1971,175366307775.2917,175323060104.79596,0.0038510867687987214,0.009838717560421997,0.02286918076169806,0.010704560777678987,2.3959104308387518e-05,0.003551139609511547,0.1083418354490805,0.014906211842307645
100022,3,2016-10-07,-0.007386843462412143,129410000000.0,176857271130.51633,176932225011.47394,176959307662.7467,176926239379.16455,0.0026204412641484113,0.007456931980522613,0.01779478266100049,0.008140818483582413,3.598439434295826e-06,0.0010503649336642868,0.04866914498814635,0.0064753604241928765
100022,3,2016-10-14,-0.007326294651986332,129410000000.0,176501867170.78983,176579347809.4357,176607601774.1695,176573195115.26175,0.0027696153080848268,0.007789232258557032,0.018412813418277437,0.008485517163490428,3.892293630801358e-06,0.0011075069745453375,0.05018717787814205,0.006707918597926213
100022,3,2016-10-21,-0.0074119276448696226,129410000000.0,177603885411.21585,177673636017.2052,177698284806.16058,177667996093.25186,0.0023243573622354465,0.006785346518651003,0.016527806339999083,0.0074425828972795125,3.050186735409103e-06,0.0009334689325389691,0.045608909748201865,0.00601172844794336
100022,3,2016-10-28,-0.0073981989115620775,129410000000.0,178539485301.94208,178603113589.9082,178624988523.8761,178597890491.46762,0.0019947717117554274,0.006016387369557044,0.01504434218508578,0.006640140839923777,2.480684372687036e-06,0.0008034104918602676,0.041823431535914266,0.0054755087696474695
100022,3,2016-11-04,-0.007456981650678056,129410000000.0,175676665915.6898,175760707017.72888,175792102079.43262,175754129863.2483,0.0031709540407464094,0.008665661350888199,0.020017442476818775,0.009392426188933297,4.616603654761653e-06,0.001258667820027641,0.054036390616026206,0.007278797757768054
100022,3,2016-11-11,-0.007441658381968281,129410000000.0,178508622542.619,178572495970.41162,178594493816.18613,178567256614.81113,0.002007425144927475,0.006046385490521681,0.015102931647230372,0.006671510833107037,2.4982999224788495e-06,0.0008071600468763508,0.04194927472459232,0.0054924196042226685
100022,3,2016-11-18,-0.007519278435931582,129410000000.0,179060000460.45923,179120578530.08057,179141099134.2313,179115566732.81244,0.0018378548471256057,0.005641102511120524,0.014306049659716488,0.006247196639967583,2.2048299685991127e-06,0.0007361721062336589,0.03974549860180973,0.005197302234212554
100022,3,2016-11-25,-0.00795976255352799,129410000000.0,180204980925.2587,180259484783.33246,180277367553.888,180254901529.81528,0.0015406386656217623,0.004911055149022425,0.012839076397021908,0.005479903912719277,1.7052970639666844e-06,0.0006069260958285006,0.03548603291265214,0.0046322553754255015
100022,3,2016-12-02,-0.007977357317962541,129410000000.0,178401704612.13022,178466896328.12692,178489468627.5925,178461565356.35443,0.0020750238060418215,0.006205916272439861,0.015413494181426419,0.006838244602884523,2.5599328112250536e-06,0.0008202474087789984,0.04238579274453312,0.0055511906388220535
100022,3,2016-12-09,-0.00797781088144521,129410000000.0,183833847093.70288,183871499466.74548,183882544949.8851,183868167931.4493,0.0008340063204944503,0.003034678835460362,0.008824591768755939,0.0034840070118393254,7.39313007808774e-07,0.0003349069131585048,0.024727108614567443,0.0032064406001005167
100022,3,2016-12-16,-0.007962559079623715,129410000000.0,184576593221.30228,184611428389.16907,184621408832.94708,184608316124.3145,0.0007332518345492577,0.0027435447827614977,0.008159094728051661,0.003170029446265555,6.146958802080799e-07,0.00029815085619225225,0.02314233093725306,0.0029722021266860455
100022,3,2016-12-23,-0.008363063584014402,129410000000.0,184604494322.5566,184639511570.05237,184649558882.0991,184636384877.62512,0.0007391204421397533,0.0027607268492360138,0.008198781981204712,0.0031886021809001248,6.103843529632452e-07,0.0002969222609493651,0.02308479209660257,0.002963669569919613
100022,3,2016-12-30,-0.00822444322119363,129410000000.0,183853819332.0483,183891579949.13025,183902666065.75168,183888239848.2309,0.0008376553228471562,0.0030450768335356163,0.008848096992439667,0.0034951937692246685,7.356077171419559e-07,0.0003336688158814666,0.02468335411936516,0.003199868460160891
100022,4,2017-01-06,-0.007487549564288636,129410000000.0,184824948089.0002,184857645576.9854,184866642072.11807,184854786043.50574,0.0006920193770709978,0.0025239004782925153,0.007672111119428183,0.002926801890439318,2.042099843848566e-07,0.0001371331407084681,0.01416719302086727,0.0017534165667382568
100022,4,2017-01-13,-0.007750241567862215,129410000000.0,183224444203.90482,183263332126.93848,183274604963.13867,183259997069.1466,0.0009198308308153246,0.0031597130633790873,0.009134819781914869,0.0036135158239270107,2.876855286400832e-07,0.00018028542387547885,0.016801783453749476,0.002091734702811863
100022,4,2017-01-20,-0.0072382831714380425,129410000000.0,182758041705.2008,182798445846.81793,182810295524.5109,182794996660.94308,0.0009803855593520337,0.0033229278167185086,0.009499542981361372,0.0037887244087667447,3.178415308650192e-07,0.00019595822131202153,0.017642051562230417,0.002201776752645655
100022,4,2017-01-27,-0.0066017423066983575,129410000000.0,182832872743.01312,182872456737.8745,182883996710.58163,182869069548.45062,0.0009488494069584596,0.0032381959973419062,0.009310695918915255,0.003697815128265268,3.1282015017530266e-07,0.0001931695142234885,0.01750544311289187,0.0021838556013613944
100022,4,2017-02-03,-0.007680055558493834,129410000000.0,180923607720.5665,180972821251.5368,180988132414.01895,180968722557.9197,0.001355643281389936,0.004293236395402427,0.01159520005403264,0.004823244304716728,4.891739086179062e-07,0.00026445313817528187,0.02131342348432637,0.0026909939244232793
