date,r_1y
2010-01-04,0.008330208115555014
2010-01-05,0.007934123318377239
2010-01-06,0.007782110945859884
2010-01-07,0.007491122212514127
2010-01-08,0.007416742534531135
2010-01-11,0.00705608487484481
2010-01-12,0.007144713102054159
2010-01-13,0.007166830665093683
2010-01-14,0.006944032597389029
2010-01-15,0.006620478729296413
2010-01-18,0.006726076672577683
2010-01-19,0.006979198082756643
2010-01-20,0.007059781267469796
2010-01-21,0.006932755839095706
2010-01-22,0.006663541927836609
2010-01-25,0.006671307003770845
2010-01-26,0.006794557841975388
2010-01-27,0.006888640718635109
2010-01-28,0.007056976885642765
2010-01-29,0.007144745648779182
2010-02-01,0.007150977702643597
2010-02-02,0.007154146918567679
2010-02-03,0.007191854536807731
2010-02-04,0.006921639801454438
2010-02-05,0.006730526553760178
2010-02-08,0.006432317317036145
2010-02-09,0.006478176662755786
2010-02-10,0.00647947096048713
2010-02-11,0.006707152783183323
2010-02-12,0.006281305702241949
2010-02-15,0.006037232660774307
2010-02-16,0.006342610226278731
2010-02-17,0.006068721474643114
2010-02-18,0.0061586653672037065
2010-02-19,0.006468945183509175
2010-02-22,0.006352518026179117
2010-02-23,0.005929811912457915
2010-02-24,0.005846994328097102
2010-02-25,0.00559124798629912
2010-02-26,0.005426663659725409
2010-03-01,0.005737938217607414
2010-03-02,0.005643244916208396
2010-03-03,0.005892233023469009
2010-03-04,0.005823928810960119
2010-03-05,0.005883827097890879
2010-03-08,0.005777020722355951
2010-03-09,0.005734589198864822
2010-03-10,0.005854904077446032
2010-03-11,0.006079341917248382
2010-03-12,0.006353833045855957
2010-03-15,0.006199015266980362
2010-03-16,0.006202608284021105
2010-03-17,0.005847481740261857
2010-03-18,0.006050022188283493
2010-03-19,0.006088559506667813
2010-03-22,0.006004918928567801
2010-03-23,0.0058407213549975375
2010-03-24,0.005972352396469399
2010-03-25,0.005903994412250469
2010-03-26,0.006000975711439051
2010-03-29,0.005910093055232174
2010-03-30,0.006004261869301119
2010-03-31,0.0060048565541039635
2010-04-01,0.006135218589584965
2010-04-06,0.006324843462806063
2010-04-07,0.006182988428494136
2010-04-08,0.006011888870626509
2010-04-09,0.006362874137378245
2010-04-12,0.00649385957326533
2010-04-13,0.006333653439305262
2010-04-14,0.0062043193762541535
2010-04-15,0.0062219465288283725
2010-04-16,0.005950704925710659
2010-04-19,0.005847788089201036
2010-04-20,0.006039697723647554
2010-04-21,0.006056395408378803
2010-04-22,0.006201420903962042
2010-04-23,0.006221459477862239
2010-04-26,0.006449157920709429
2010-04-27,0.006259153971872957
2010-04-28,0.006145610568342408
2010-04-29,0.006207107387166393
2010-04-30,0.006014670742399173
2010-05-03,0.006047688518207507
2010-05-04,0.005720420607683793
2010-05-05,0.004834150519227032
2010-05-06,0.004531786491707759
2010-05-07,0.0042198390796608035
2010-05-10,0.004592255157049394
2010-05-11,0.004678015802976003
2010-05-12,0.004460749446979673
2010-05-13,0.004544733028083598
2010-05-14,0.004238642057240538
2010-05-17,0.004491494159359317
2010-05-18,0.005146078002837761
2010-05-19,0.004980757194152601
2010-05-20,0.004955179965208422
2010-05-21,0.004824809501322345
2010-05-24,0.004730746757517877
2010-05-25,0.00488684172131591
2010-05-26,0.00530418824667198
2010-05-27,0.005441820138846551
2010-05-28,0.0028050650672940924
2010-05-31,0.002775916203562525
2010-06-01,0.0027314204262768095
2010-06-02,0.0027695362263840885
2010-06-03,0.0029081156850758825
2010-06-04,0.0028096511017114568
2010-06-07,0.002813561713351216
2010-06-08,0.002725691002967363
2010-06-09,0.0026986854094519243
2010-06-10,0.0027665307646216218
2010-06-11,0.002614436797706443
2010-06-14,0.002791696007524107
2010-06-15,0.002985505159847621
2010-06-16,0.0030016719745068633
2010-06-17,0.0030930452583044234
2010-06-18,0.0033520795167795692
2010-06-21,0.0037550682561513214
2010-06-22,0.003701125552912017
2010-06-23,0.0037955904330670954
2010-06-24,0.0036903815704573194
2010-06-25,0.003926626079781632
2010-06-28,0.004051165309565061
2010-06-29,0.0038006693766621824
2010-06-30,0.0042373994574033125
2010-07-01,0.004695508937833208
2010-07-02,0.004664816846719615
2010-07-05,0.004467723012765494
2010-07-06,0.0047096668832125755
2010-07-07,0.00464450702122245
2010-07-08,0.0053355881466701826
2010-07-09,0.00547393197542041
2010-07-12,0.00502681518366354
2010-07-13,0.005037666711259263
2010-07-14,0.0054203123684215425
2010-07-15,0.00561843232594623
2010-07-16,0.005713322986468516
2010-07-19,0.006250695450664394
2010-07-20,0.005804661543442804
2010-07-21,0.0055040114867993765
2010-07-22,0.005401753817104171
2010-07-23,0.00558394498012776
2010-07-26,0.0057865606696313335
2010-07-27,0.006227900555802754
2010-07-28,0.006046227903519259
2010-07-29,0.006043848031117642
2010-07-30,0.005871808449756797
2010-08-02,0.0059612547204353165
2010-08-03,0.005618391796097066
2010-08-04,0.005658303826831523
2010-08-05,0.00578566445516399
2010-08-06,0.005886454123478515
2010-08-09,0.005685051090122879
2010-08-10,0.0055762239122861155
2010-08-11,0.005017687867823823
2010-08-12,0.00471460351263802
2010-08-13,0.004730890437679538
2010-08-16,0.004631409793986221
2010-08-17,0.004743673503855754
2010-08-18,0.004690692865996311
2010-08-19,0.004717989260108937
2010-08-20,0.004359032951440192
2010-08-23,0.0043902973311584995
2010-08-24,0.004136248664361306
2010-08-25,0.004252480253504168
2010-08-26,0.004398186164968581
2010-08-27,0.004474163420903263
2010-08-30,0.004385643390711902
2010-08-31,0.004477310436586537
2010-09-01,0.0044670314995248935
2010-09-02,0.004423902558067274
