gvkey,window_idx,train_start,train_end,oos_start,oos_end,train_start_req,train_end_req,oos_start_req,oos_end_req,train_start_used_weekly,train_end_used_weekly,oos_start_used_weekly,oos_end_used_weekly,ok,msg,em_alpha,em_beta1,em_delta,em_beta0,alpha_post_mean,beta1_post_mean,delta_post_mean,beta0_post_mean,alpha_post_median,beta1_post_median,delta_post_median,beta0_post_median,A_train_last_mean,A_train_last_median,n_keep_requested,n_keep_actual,n_reject,n_fail_inversion,n_fail_z,n_fail_candidate
100022,0.0,2014-01-03,2015-12-25,2016-01-01,2016-03-25,2014-01-03,2015-12-25,2016-01-01,2016-03-25,2014-01-03,2015-12-25,2016-01-01,2016-03-25,True,ok,6810.451839692135,6194.596345238568,3.759349347618868,-8.200483319300764,6820.106494129044,6195.0412676392525,3.7252879647520647,-8.077794225813992,6818.623407638723,6195.275656628812,3.7154379822155525,-8.02477252562055,177142112602.64944,177142112602.64948,300,300,0,0,0,0
100022,1.0,2014-04-04,2016-03-25,2016-04-01,2016-06-24,2014-04-04,2016-03-25,2016-04-01,2016-06-24,2014-04-04,2016-03-25,2016-04-01,2016-06-24,True,ok,145.27547116265555,-14.316721596845085,1.3020906839129538,0.115565261428136,183.49850585070473,-14.154640773362283,1.4946634998355506,0.09211341050005618,152.53046729388325,-14.074638593536818,1.1587325066598373,0.08981515263346178,177933440219.48303,177933440219.48303,300,300,0,0,0,0
100022,2.0,2014-07-04,2016-06-24,2016-07-01,2016-09-30,2014-07-04,2016-06-24,2016-07-01,2016-09-30,2014-07-04,2016-06-24,2016-07-01,2016-09-30,True,ok,174.15361315969508,0.9526270901364444,1.444747820469432,-0.0505209400145195,321.96679843147336,0.8724891426537273,2.7121508380567296,-0.047263526634919645,303.43167217920666,1.1433154563080523,2.5535611039890327,-0.04899416650230995,171565085463.28152,171565085463.28152,300,300,0,0,0,0
100022,3.0,2014-10-03,2016-09-30,2016-10-07,2016-12-30,2014-10-03,2016-09-30,2016-10-07,2016-12-30,2014-10-03,2016-09-30,2016-10-07,2016-12-30,True,ok,160.79859191043985,-2.0190822953041656,1.3111107541571954,0.0018820091669202,273.11277467146283,-1.8625753954321347,2.257010034192305,0.005340762505590399,248.24138231197628,-2.092684819787853,2.005126033825653,-0.0008783763067393027,175380701318.1982,175380701318.19818,300,300,0,0,0,0
100080,0.0,2014-01-03,2015-12-25,2016-01-01,2016-03-25,2014-01-03,2015-12-25,2016-01-01,2016-03-25,2014-01-03,2015-12-25,2016-01-01,2016-03-25,True,ok,3888.961572534648,-3594.4506113658927,6.278195416674021,15.247791668967633,3892.15904393957,-3594.1472493160245,6.235885699849236,15.10515815768454,3893.2624334755005,-3593.8232941121078,6.148915448027266,14.556640491773457,146216191750.51883,146216191750.51886,300,300,0,0,0,0
100080,1.0,2014-04-04,2016-03-25,2016-04-01,2016-06-24,2014-04-04,2016-03-25,2016-04-01,2016-06-24,2014-04-04,2016-03-25,2016-04-01,2016-06-24,True,ok,369.2296561314959,-235.2394433950276,5.460377290890748,4.52614025981038,369.63941862247077,-235.32864389592515,5.493889010734839,4.52271742744286,368.32922548161605,-235.81648414902534,5.468713445899498,4.514728403827975,133466019330.2463,133466019330.24629,300,300,0,0,0,0
100080,2.0,2014-07-04,2016-06-24,2016-07-01,2016-09-30,2014-07-04,2016-06-24,2016-07-01,2016-09-30,2014-07-04,2016-06-24,2016-07-01,2016-09-30,True,ok,9867.234779815662,-9689.430675307563,2.322181252464455,12.010636935954969,9863.780269443316,-9689.46681962221,2.5607174055707027,13.378823319955835,9863.09627425953,-9689.41092443967,2.561008792308651,13.439612313464645,121255442292.30562,121255442292.30562,300,300,0,0,0,0
100080,3.0,2014-10-03,2016-09-30,2016-10-07,2016-12-30,2014-10-03,2016-09-30,2016-10-07,2016-12-30,2014-10-03,2016-09-30,2016-10-07,2016-12-30,True,ok,5306.127428841608,-5132.079124334599,2.9579484916638807,11.202729603983258,5304.121861283344,-5131.757971123756,3.0459459089107144,11.610166146802467,5303.967187690594,-5131.59474215266,3.0371356636930527,11.514343420104826,122777067517.57083,122777067517.57086,300,300,0,0,0,0
