date,market_cap,debt_face,rf,A_oos_mean,A_oos_median,A_oos_q05,A_oos_q95,theta_oos_mean,theta_oos_median,theta_oos_q05,theta_oos_q95,PD_P_mean,PD_P_median,PD_P_q05,PD_P_q95,PD_Q_mean,PD_Q_median,PD_Q_q05,PD_Q_q95,gvkey,window_train_start,window_train_end,window_oos_start,window_oos_end,window_idx
2016-04-22,49833162324.88,129410000000.0,-0.005201653725431045,1183964876359.7498,179917286594.81592,179911746920.4635,10362487284093.135,1.7512361569057573,2.550651327964862,-10.70662520795399,13.233192343751202,0.0034564934430824615,0.0004597435211196491,1.0019974874770588e-176,0.018774866464002046,0.00046376227995077626,0.0002545996603124649,1.029155576964577e-176,0.001583550754727764,100022,2014-04-04,2016-03-25,2016-04-01,2016-06-24,1.0
2016-04-29,48460613278.0,129410000000.0,-0.005180846165192681,1199214616926.0376,178541760839.6027,178534776449.49704,10335734661903.107,1.7537933630766065,2.5533487039502125,-10.703412907751789,13.235265534734742,0.004137033051566409,0.0005920401457121282,3.5645581207401604e-181,0.023016532039705336,0.0005897411777673127,0.0003375569054893991,5.856299182961697e-184,0.0019811119974712916,100022,2014-04-04,2016-03-25,2016-04-01,2016-06-24,1.0
2016-05-06,45565016385.24,129410000000.0,-0.005255255910523684,1181619818144.7058,175654864214.81873,175643638556.3019,10220022235696.053,1.7446486150535188,2.5437027037038957,-10.714899892887606,13.227851652515891,0.00603966010236468,0.001058563835863851,4.207909012139405e-181,0.0331578386590349,0.0009846432288191278,0.0006303454660165125,1.063731935926371e-176,0.0031542001832367975,100022,2014-04-04,2016-03-25,2016-04-01,2016-06-24,1.0
2016-05-13,44409185608.92,129410000000.0,-0.005330627522565173,1078855794016.0905,174508184703.4219,174494719060.74268,9362164826400.852,1.735385814807418,2.533932194082445,-10.726533963986727,13.220342044373245,0.007027358671751952,0.0013420745722188135,4.1637393529665007e-181,0.037929465636628634,0.0012171499755150189,0.0008078267242597672,1.1143248698543172e-176,0.0037862900930769883,100022,2014-04-04,2016-03-25,2016-04-01,2016-06-24,1.0
2016-05-20,43163055553.200005,129410000000.0,-0.005381800125490273,1106180026701.4656,173267863972.8401,173251457182.53442,9362792456756.29,1.7290970446777598,2.527298733898793,-10.734431965088325,13.215243554329088,0.008232471413521522,0.0016818022165171237,3.481110541732875e-181,0.04368193922168618,0.001514156650641081,0.0010483615871158263,6.138358501373458e-180,0.004599065721279893,100022,2014-04-04,2016-03-25,2016-04-01,2016-06-24,1.0
2016-05-27,45245958931.36,129410000000.0,-0.005511659954575418,1143889410807.5151,175368973440.9544,175357164282.8795,9364385225886.455,1.713138472063594,2.510465493736887,-10.754471664858345,13.202305434880873,0.006282489022159501,0.001126292303025736,4.059552038549414e-181,0.03425332117883617,0.0010469079345812719,0.0006788915365895452,1.2458928226399006e-176,0.0033241613198346934,100022,2014-04-04,2016-03-25,2016-04-01,2016-06-24,1.0
2016-06-03,43506192814.92,129410000000.0,-0.0055372453045172375,1106675801426.5261,173631474752.5982,173615911903.3144,9364699044930.88,1.7099943250160743,2.507149025070114,-10.758419448777023,13.199756369106497,0.007858487084960803,0.0015711870816111813,3.4179140315012936e-181,0.04199024616535443,0.0014279180849876517,0.00097777472905973,6.671170774418831e-180,0.0043658033512816,100022,2014-04-04,2016-03-25,2016-04-01,2016-06-24,1.0
2016-06-10,42561060357.200005,129410000000.0,-0.005629565200942901,1076312235413.2815,172697602847.36856,172679535651.85297,9365831421232.5,1.6986494183123892,2.493979625821963,-10.772662927256803,13.190558654249612,0.008859840695911022,0.0018805331085527896,3.9931144975520356e-181,0.04643671604871893,0.001687378739184742,0.0011895214165915055,1.3398254682296028e-176,0.0050559909631801405,100022,2014-04-04,2016-03-25,2016-04-01,2016-06-24,1.0
2016-06-17,41519608668.12,129410000000.0,-0.005830890049573294,1075595503835.212,171681324929.25967,171660053696.8697,9368300935748.11,1.6739100633484787,2.4650981618551566,-10.803716768665131,13.17050149465044,0.010079842966596418,0.0022773921758470986,3.88219810630597e-181,0.05170725801013159,0.0020272776258692215,0.001472267707508594,1.516877136322183e-176,0.005937897952121381,100022,2014-04-04,2016-03-25,2016-04-01,2016-06-24,1.0
2016-06-24,41332990157.36,129410000000.0,-0.006369741549732035,1089846446380.3323,171564622191.9292,171542639482.60822,9374911377009.57,1.607700136792683,2.397871527874435,-10.886783583038387,13.116821886466575,0.010228828529546789,0.00232699168936872,3.6003840940121896e-181,0.0523466119858638,0.0021018384058417755,0.0015372998126757125,2.1145691770156128e-176,0.006131817891526192,100022,2014-04-04,2016-03-25,2016-04-01,2016-06-24,1.0
