date,market_cap,debt_face,rf,A_train_mean,A_train_median,A_train_q05,A_train_q95,theta_train_mean,theta_train_median,theta_train_q05,theta_train_q95,logA_train_median,dlogA_train_median,alpha_post_mean,beta1_post_mean,delta_post_mean,beta0_post_mean,alpha_post_median,beta1_post_median,delta_post_median,beta0_post_median,gvkey,window_train_start,window_train_end,window_idx
2014-01-03,50555556560.08,101448000000.0,0.0009909895936828761,167517276817.17194,167517276817.17233,167517276817.17233,167517276817.17233,-4.085009008510512,-4.7232221052563546,-16.023869212370393,9.911727583846826,25.844352328069583,,6820.106494129047,6195.041267639251,3.7252879647520643,-8.077794225813987,6818.623407638723,6195.275656628812,3.7154379822155525,-8.02477252562055,100022,2014-01-03,2015-12-25,0.0
2014-01-10,50055900547.4,101448000000.0,0.0009628517410786719,167027652295.16666,167027652295.16733,167027652295.16733,167027652295.16733,-4.08881987781279,-4.726954133023355,-16.027387637379842,9.908117444213715,25.841425218261673,-0.00292710980791,6820.106494129047,6195.041267639251,3.7252879647520643,-8.077794225813987,6818.623407638723,6195.275656628812,3.7154379822155525,-8.02477252562055,100022,2014-01-03,2015-12-25,0.0
2014-01-17,51898005847.159996,101448000000.0,0.0009958909084203916,168873770586.00845,168873770586.00934,168873770586.00934,168873770586.00934,-4.084345198978545,-4.72257202901028,-16.02325634318772,9.912356428603156,25.852417353176644,0.01099213491497153,6820.106494129047,6195.041267639251,3.7252879647520643,-8.077794225813987,6818.623407638723,6195.275656628812,3.7154379822155525,-8.02477252562055,100022,2014-01-03,2015-12-25,0.0
2014-01-24,49345546216.12,101448000000.0,0.0007937020451501908,166377424673.94788,166377424673.94833,166377424673.94833,166377424673.94833,-4.1117294790488845,-4.749389766418517,-16.048539150456143,9.886414563174233,25.837524687102892,-0.014892666073752281,6820.106494129047,6195.041267639251,3.7252879647520643,-8.077794225813987,6818.623407638723,6195.275656628812,3.7154379822155525,-8.02477252562055,100022,2014-01-03,2015-12-25,0.0
2014-01-31,48653251740.71999,101448000000.0,0.0003711116966217753,165826598414.58664,165826598414.58777,165826598414.58777,165826598414.58777,-4.168970251834984,-4.8054463044154545,-16.101387130898274,9.832188872475902,25.834208491476886,-0.0033161956260059355,6820.106494129047,6195.041267639251,3.7252879647520643,-8.077794225813987,6818.623407638723,6195.275656628812,3.7154379822155525,-8.02477252562055,100022,2014-01-03,2015-12-25,0.0
2014-02-07,49243207032.799995,101448000000.0,0.0006091031494304433,166343386427.40118,166343386427.40213,166343386427.40213,166343386427.40213,-4.136732879913507,-4.773875880936885,-16.07162375261705,9.862728177809235,25.83732008164673,0.0031115901698441917,6820.106494129047,6195.041267639251,3.7252879647520643,-8.077794225813987,6818.623407638723,6195.275656628812,3.7154379822155525,-8.02477252562055,100022,2014-01-03,2015-12-25,0.0
2014-02-14,51771586856.0,101448000000.0,0.0005607563171963204,168906431359.99002,168906431359.9896,168906431359.9896,168906431359.9896,-4.143281557359778,-4.780289075035398,-16.07766986918018,9.856524443263337,25.852610737951085,0.01529065630435511,6820.106494129047,6195.041267639251,3.7252879647520643,-8.077794225813987,6818.623407638723,6195.275656628812,3.7154379822155525,-8.02477252562055,100022,2014-01-03,2015-12-25,0.0
2014-02-21,51302030603.12,101448000000.0,0.0006392496732718377,168410804605.23233,168410804605.23212,168410804605.23212,168410804605.23212,-4.132649520912224,-4.769877001127497,-16.067853759018455,9.866596451590798,25.84967209706006,-0.0029386408910241357,6820.106494129047,6195.041267639251,3.7252879647520643,-8.077794225813987,6818.623407638723,6195.275656628812,3.7154379822155525,-8.02477252562055,100022,2014-01-03,2015-12-25,0.0
2014-02-28,50687995503.200005,101448000000.0,0.0008718180831148592,167719333059.60925,167719333059.60876,167719333059.60876,167719333059.60876,-4.101149309944319,-4.739028486399093,-16.038770909474444,9.896437440845196,25.845557782730268,-0.0041143143297937,6820.106494129047,6195.041267639251,3.7252879647520643,-8.077794225813987,6818.623407638723,6195.275656628812,3.7154379822155525,-8.02477252562055,100022,2014-01-03,2015-12-25,0.0
2014-03-07,49279326744.56,101448000000.0,0.001225275840532376,166189685910.09317,166189685910.0924,166189685910.0924,166189685910.0924,-4.053279573732549,-4.6921491072762365,-15.994574649288733,9.941785744021356,25.83639565913937,-0.009162123590897409,6820.106494129047,6195.041267639251,3.7252879647520643,-8.077794225813987,6818.623407638723,6195.275656628812,3.7154379822155525,-8.02477252562055,100022,2014-01-03,2015-12-25,0.0
