gvkey,date,alpha,beta,delta,mu,A_used,L_used,PD_1y,train_end_date,training_end
100022,2015-12-31,14.601361169276123,0.009543471107228202,0.0030657832111749606,0.0014467984938821312,176605437004.5987,117366000000.0,0.0002529596105872631,2015-12-31,1
100022,2016-01-01,14.601361169276123,0.009543471107228202,0.0030657832111749606,0.0014467984938821312,176605437004.5987,117366000000.0,0.0002529596105872631,2015-12-31,0
100022,2016-01-08,14.601361169276123,0.009543471107228202,0.0030657832111749606,0.0014467984938821312,168108652430.7837,117366000000.0,0.0005758537388340068,2015-12-31,0
100022,2016-01-15,14.601361169276123,0.009543471107228202,0.0030657832111749606,0.0014467984938821312,164826510128.41745,117366000000.0,0.0008012838188658957,2015-12-31,0
100022,2016-01-22,14.601361169276123,0.009543471107228202,0.0030657832111749606,0.0014467984938821312,165859787832.12735,117366000000.0,0.0007215641323269753,2015-12-31,0
100022,2016-01-29,14.601361169276123,0.009543471107228202,0.0030657832111749606,0.0014467984938821312,164045227995.94775,117366000000.0,0.0008677831533981529,2015-12-31,0
100022,2016-02-05,14.601361169276123,0.009543471107228202,0.0030657832111749606,0.0014467984938821312,161496704331.54547,117366000000.0,0.0011288899066385708,2015-12-31,0
100022,2016-02-12,14.601361169276123,0.009543471107228202,0.0030657832111749606,0.0014467984938821312,160233287185.20682,117366000000.0,0.0012883487252195959,2015-12-31,0
100022,2016-02-19,14.601361169276123,0.009543471107228202,0.0030657832111749606,0.0014467984938821312,162388224014.07684,117366000000.0,0.0010291074324068022,2015-12-31,0
100022,2016-02-26,14.601361169276123,0.009543471107228202,0.0030657832111749606,0.0014467984938821312,162440398527.09705,117366000000.0,0.0010235669363931642,2015-12-31,0
100022,2016-03-04,14.601361169276123,0.009543471107228202,0.0030657832111749606,0.0014467984938821312,167707798599.85883,117366000000.0,0.0005993294481327487,2015-12-31,0
100022,2016-03-11,14.601361169276123,0.009543471107228202,0.0030657832111749606,0.0014467984938821312,165286064553.51703,117366000000.0,0.0007647255611912265,2015-12-31,0
100022,2016-03-18,14.601361169276123,0.009543471107228202,0.0030657832111749606,0.0014467984938821312,179143180312.3291,129410000000.0,0.0010203758415322625,2015-12-31,0
100022,2016-03-25,14.601361169276123,0.009543471107228202,0.0030657832111749606,0.0014467984938821312,177935819278.90564,129410000000.0,0.0011432219918149748,2015-12-31,0
100022,2016-03-31,13.682577847605662,0.0036115958243650957,0.004000635473762252,0.001111931448627799,178621026720.93033,129410000000.0,0.0034326690459852522,2016-03-31,1
100022,2016-04-01,13.682577847605662,0.0036115958243650957,0.004000635473762252,0.001111931448627799,176993202760.20624,129410000000.0,0.00394583101795195,2016-03-31,0
100022,2016-04-08,13.682577847605662,0.0036115958243650957,0.004000635473762252,0.001111931448627799,174796701240.82523,129410000000.0,0.0047708202274114875,2016-03-31,0
100022,2016-04-15,13.682577847605662,0.0036115958243650957,0.004000635473762252,0.001111931448627799,177262074225.7682,129410000000.0,0.0038557533037533133,2016-03-31,0
100022,2016-04-22,13.682577847605662,0.0036115958243650957,0.004000635473762252,0.001111931448627799,179918062109.2359,129410000000.0,0.0030745838265331922,2016-03-31,0
100022,2016-04-29,13.682577847605662,0.0036115958243650957,0.004000635473762252,0.001111931448627799,178542806341.12775,129410000000.0,0.003455633827594534,2016-03-31,0
100022,2016-05-06,13.682577847605662,0.0036115958243650957,0.004000635473762252,0.001111931448627799,175656889191.3548,129410000000.0,0.004427836511583384,2016-03-31,0
100022,2016-05-13,13.682577847605662,0.0036115958243650957,0.004000635473762252,0.001111931448627799,174510864018.72913,129410000000.0,0.004890930572245731,2016-03-31,0
100022,2016-05-20,13.682577847605662,0.0036115958243650957,0.004000635473762252,0.001111931448627799,173271391774.88565,129410000000.0,0.005450025018313826,2016-03-31,0
100022,2016-05-27,13.682577847605662,0.0036115958243650957,0.004000635473762252,0.001111931448627799,175371192096.44327,129410000000.0,0.004538761563502359,2016-03-31,0
100022,2016-06-03,13.682577847605662,0.0036115958243650957,0.004000635473762252,0.001111931448627799,173634755322.22107,129410000000.0,0.0052794337165763625,2016-03-31,0
100022,2016-06-10,13.682577847605662,0.0036115958243650957,0.004000635473762252,0.001111931448627799,172701636874.47134,129410000000.0,0.0057293506527587,2016-03-31,0
100022,2016-06-17,13.682577847605662,0.0036115958243650957,0.004000635473762252,0.001111931448627799,171686388354.8454,129410000000.0,0.006265257736022783,2016-03-31,0
100022,2016-06-24,13.682577847605662,0.0036115958243650957,0.004000635473762252,0.001111931448627799,171569929309.65942,129410000000.0,0.006330034905391034,2016-03-31,0
100022,2016-06-30,12.569547575445386,0.005193779058723,0.0037516065691733033,0.0005719302317015408,169857962428.56595,129410000000.0,0.012188087700317728,2016-06-30,1
100022,2016-07-01,12.569547575445386,0.005193779058723,0.0037516065691733033,0.0005719302317015408,171065777512.95645,129410000000.0,0.011008106818397052,2016-06-30,0
100022,2016-07-08,12.569547575445386,0.005193779058723,0.0037516065691733033,0.0005719302317015408,171485315208.3603,129410000000.0,0.010627126738326257,2016-06-30,0
100022,2016-07-15,12.569547575445386,0.005193779058723,0.0037516065691733033,0.0005719302317015408,175205604481.41815,129410000000.0,0.007802499167972969,2016-06-30,0
100022,2016-07-22,12.569547575445386,0.005193779058723,0.0037516065691733033,0.0005719302317015408,175680289054.50705,129410000000.0,0.007504181184734367,2016-06-30,0
100022,2016-07-29,12.569547575445386,0.005193779058723,0.0037516065691733033,0.0005719302317015408,176623197460.91476,129410000000.0,0.006947061265840576,2016-06-30,0
100022,2016-08-05,12.569547575445386,0.005193779058723,0.0037516065691733033,0.0005719302317015408,177149746586.4787,129410000000.0,0.006655286024618481,2016-06-30,0
100022,2016-08-12,12.569547575445386,0.005193779058723,0.0037516065691733033,0.0005719302317015408,178183017568.5329,129410000000.0,0.006120039525179895,2016-06-30,0
100022,2016-08-19,12.569547575445386,0.005193779058723,0.0037516065691733033,0.0005719302317015408,176773047141.60144,129410000000.0,0.006862661533918445,2016-06-30,0
100022,2016-08-26,12.569547575445386,0.005193779058723,0.0037516065691733033,0.0005719302317015408,176719701943.24466,129410000000.0,0.006892581083255308,2016-06-30,0
100022,2016-09-02,12.569547575445386,0.005193779058723,0.0037516065691733033,0.0005719302317015408,177547702209.83575,129410000000.0,0.006443450644009033,2016-06-30,0
100022,2016-09-09,12.569547575445386,0.005193779058723,0.0037516065691733033,0.0005719302317015408,176549282146.2267,129410000000.0,0.006989099563826237,2016-06-30,0
100022,2016-09-16,12.569547575445386,0.005193779058723,0.0037516065691733033,0.0005719302317015408,174450087337.42993,129410000000.0,0.008303660731244505,2016-06-30,0
